question,ground_truth_answer,gold_chunk_id,source_doc,section,groundedness_score
"What is the percentage increase in the total inventories from January 26, 2025, to January 25, 2026, and what are the recorded inventory provisions for fiscal year 2026?","The total inventories increased from $10,080 million on January 26, 2025, to $21,403 million on January 25, 2026. The percentage increase is calculated as ((21,403 - 10,080) / 10,080) * 100 = 112.33%. The recorded inventory provisions for fiscal year 2026 are $4.0 billion.",be4715cf-7bae-497e-a186-0ee7f9437750,Nvidia10k2026.pdf,Certain balance sheet components are as follows:,5
"According to the Nvidia 10-K report for 2026, which financial statement elements require management to make estimates and assumptions that could lead to material differences between actual results and estimates?","Management is required to make estimates and assumptions for accounts receivable, cash equivalents and marketable securities, goodwill, income taxes, inventories and product purchase commitments, investigation and settlement costs, litigation, and non-marketable equity, which could lead to material differences between actual results and estimates.",2de31a9e-e7d6-4815-a1a4-e54c98b9eae6,Nvidia10k2026.pdf,Use of Estimates,5
"Based on the context provided from Nvidia's 10-K report, what is the estimated fair value of corporate debt securities, and how does it compare to the cost or amortized cost in terms of unrealized gains and losses?","The estimated fair value of the corporate debt securities is $18,526. Compared to the cost or amortized cost of $18,504, there is an unrealized gain of $51 and an unrealized loss of $29.",4046ff4b-8c75-47c1-92ca-9cbb2da3fdbf,Nvidia10k2026.pdf,(Continued),4
"According to the Nvidia 10k report, what are the primary sources of cybersecurity threats mentioned that could disrupt the company's services and products during major conflicts?","The primary sources of cybersecurity threats mentioned are cyber-attacks during times of war or major conflicts, and threats due to error or intentional misconduct by employees, contractors, or other third-party service providers.",a3dd8c2f-8d12-4373-add2-5f302cea2f13,Nvidia10k2026.pdf,Risks Related to Our Global Operating Business,5
"As of the end of fiscal year 2026, how much of Nvidia's cash, cash equivalents, and marketable securities held outside the U.S. would incur foreign or state taxes upon repatriation to the U.S.?","Approximately $1.7 billion of cash, cash equivalents, and marketable securities held outside the U.S. would incur foreign or state taxes upon repatriation to the U.S., as these amounts have not been accrued for any related taxes.",213850e6-f315-48d6-b06d-cb09da6f2fc8,Nvidia10k2026.pdf,Liquidity,5
What was the financial impact on Nvidia in the first quarter of fiscal year 2026 due to the USG's licensing requirement for exporting H20 integrated circuits to China and D:5 countries?,Nvidia incurred a $4.5 billion charge associated with H20 for excess inventory and purchase obligations.,b8dc61d1-5f98-4b67-89f9-b792ec041fc2,Nvidia10k2026.pdf,"Risks Related to Regulatory, Legal, Our Stock and Other Matters",5
"Based on the context provided from Nvidia's 10-K report for the year 2026, how does Nvidia allocate its assets across operating segments, and where can one find additional information regarding lease obligations?","Nvidia does not identify or allocate assets by operating segment. Additional information regarding obligations under leases can be found in Note 17 of the Notes to the Consolidated Financial Statements in Part IV, Item 15 of the Annual Report on Form 10-K.",65df0201-91bc-492f-8152-bd17e0e971cf,Nvidia10k2026.pdf,Item 2. Properties,5
"What specific regulatory action did China's antitrust regulators take on January 15, 2025, regarding Nvidia's compliance with U.S. export controls, and what was the alleged consequence?","On January 15, 2025, China's antitrust regulators published a preliminary finding that Nvidia's compliance with U.S. export controls, which required offering degraded products to the Chinese market, discriminated unfairly against customers in China. This was alleged to violate the terms of China's approval of Nvidia's Mellanox acquisition.",59c43d13-67cc-416e-a077-0c1660fa79de,Nvidia10k2026.pdf,"Risks Related to Regulatory, Legal, Our Stock and Other Matters",5
What is the I.R.S. Employer Identification Number (EIN) for NVIDIA CORPORATION as specified in the provided context?,94-3177549,c6f3ef83-e2a2-4307-88fb-b28b5d85efa3,Nvidia10k2026.pdf,NVIDIA,5
"What are the key components of NVIDIA's underlying architecture that allow it to support diverse end markets such as Data Center, Gaming, Professional Visualization, and Automotive?","NVIDIA's underlying architecture leverages GPUs, CPUs, CUDA, and networking technologies as the fundamental building blocks to support diverse end markets.",06848b75-f674-4c70-846d-47e3be70430d,Nvidia10k2026.pdf,Advancing the NVIDIA accelerated computing platform.,5
