experiment_id,exp_top_k,exp_prompt_preset,exp_strict_citation_postprocess,exp_chunk_size,exp_chunk_overlap,exp_header_preset,question,ground_truth,generated_answer,contexts,gold_chunk_id,retrieved_ids,cited_chunk_ids,recall_at_5,citation_hallucination,citation_issue_pre_strict,strict_abstention_applied,gold_chunk_cited,context_hallucination,context_hallucination_severity,total_claims,unsupported_claim_count,claim_level_hallucination_rate,atomic_claims_json,unsupported_claims_json,faithfulness,answer_relevancy,answer_correctness
k3,3,default,0,1000,250,standard,What were the specific assessment intervals for tumor status in the study before and after Week 48?,"Tumor status assessments were performed every 6 weeks through Week 48, and then every 12 weeks thereafter.",Insufficient Information.,"['tumor status was performed at 12 weeks, then every 6 weeks through Week 48, followed by every 12 weeks thereafter. The major efficacy outcome measures were overall survival (OS) and progression-free survival (PFS; as assessed by blinded independent central review [BICR] using Response Evaluation Criteria in Solid', 'Reference ID: 5519370  \nof disease progression. Assessment of tumor status was performed every 6 weeks through Week 18, every 9 weeks through Week 45 and every 12 weeks thereafter. The main efficacy outcome measures were PFS and ORR as assessed by BICR using RECIST v1.1, modified to follow a maximum of 10 target lesions and a maximum of 5 target lesions per organ, and OS. An additional efficacy outcome measure was DoR as assessed by BICR according to RECIST v1.1, modified to follow a maximum of 10 target lesions and a maximum of 5 target lesions per organ.  \nThe study population characteristics were: median age of 65 years (range: 29 to 88), 55% age 65 or older; 81% male; 77% White; 71% ECOG PS of 1; and 8% with a history of brain metastases. Thirty-five percent had tumor PD-L1 expression TPS &#x3C;1%; 19% were from the East Asian region; and 60% received paclitaxel.', 'Assessment of tumor status was performed at 12 weeks after randomization, then every 6 weeks through week 48, followed by every 12 weeks thereafter. Patients on chemotherapy who experienced progression of disease were offered KEYTRUDA. The major efficacy outcomes were PFS as assessed by BICR per RECIST v1.1, modified to follow a maximum of 10 target lesions and a maximum of 5 target lesions per organ, and OS. Additional efficacy outcome measures were confirmed ORR as assessed by BICR per RECIST v1.1, modified to follow a maximum of 10 target lesions and a maximum of 5 target lesions per organ, and DoR.  \nThe study population characteristics were: median age of 62 years (range: 15 to 89), 43% age 65 or older; 61% male; 98% White; and 55% ECOG PS of 0 and 45% ECOG PS of 1. Twenty-three percent of patients were BRAF V600 mutation positive, 40% had elevated LDH at baseline, 82% had M1c disease, and 73% had two or more prior therapies for advanced or metastatic disease.']",2fbcb514-8f80-4572-aed1-54d1d0ac4db2,"['38cb5c5c-e9ad-402f-8ae2-1e9089325330', '89b7bdb4-4655-4a81-858d-da846b5479b5', 'b4522a69-ae6f-4ea6-82a1-442439a4114f']",[],0,0,0,0,0,0.0,0.0,0.0,0.0,,[],[],0.0,0.0,0.04257203090475512
k3,3,default,0,1000,250,standard,What is the recommended course of action regarding the use of PD-1 or PD-L1 blocking antibodies in combination with a thalidomide analogue and dexamethasone for patients with multiple myeloma according to the findings from the two randomized trials?,The treatment of patients with multiple myeloma using a PD-1 or PD-L1 blocking antibody in combination with a thalidomide analogue plus dexamethasone is not recommended outside of controlled trials due to increased mortality observed in two randomized trials.,The recommended course of action is that the treatment of patients with multiple myeloma with a PD-1 or PD-L1 blocking antibody in combination with a thalidomide analogue plus dexamethasone is not recommended outside of controlled trials due to increased mortality observed in two randomized trials [Source: 7b6fb8b5-de1e-45da-93f2-92909e631118].,"['In two randomized trials in patients with multiple myeloma, the addition of KEYTRUDA to a thalidomide analogue plus dexamethasone, a use for which no PD-1 or PD-L1 blocking antibody is indicated, resulted in increased mortality. Treatment of patients with multiple myeloma with a PD-1 or PD-L1 blocking antibody in combination with a thalidomide analogue plus dexamethasone is not recommended outside of controlled trials.', 'x           MPM: 200 mg every 3 weeks or 400 mg every 6 weeks. (2.2)                        Treatment of patients with multiple myeloma with a PD-1 or PD-L1\nx           HNSCC: 200 mg every 3 weeks or 400 mg every 6 weeks. (2.2)                      blocking antibody in combination with a thalidomide analogue plus\ndexamethasone is not recommended outside of controlled clinical\ntrials. (5.4)  \nReference ID: 5519370', 'PD-L1 IHC 22C3 pharmDx kit, HPV status according to p16 IHC (positive or negative), and ECOG PS (0 vs. 1). Patients were randomized 1:1:1 to one of the following treatment arms:  \n- KEYTRUDA 200 mg intravenously every 3 weeks\n- KEYTRUDA 200 mg intravenously every 3 weeks, carboplatin AUC 5 mg/mL/min intravenously every 3 weeks or cisplatin 100 mg/m² intravenously every 3 weeks, and FU 1000 mg/m²/day as a continuous intravenous infusion over 96 hours every 3 weeks (maximum of 6 cycles of platinum and FU)\n- Cetuximab 400 mg/m² intravenously as the initial dose then 250 mg/m² intravenously once weekly, carboplatin AUC 5 mg/mL/min intravenously every 3 weeks or cisplatin 100 mg/m² intravenously every 3 weeks, and FU 1000 mg/m²/day as a continuous intravenous infusion over 96 hours every 3 weeks (maximum of 6 cycles of platinum and FU)']",7b6fb8b5-de1e-45da-93f2-92909e631118,"['7b6fb8b5-de1e-45da-93f2-92909e631118', '207a3bbb-7e53-475e-8d11-d866ec0e45af', '4f848698-a1ee-40b8-b9b5-280509349b6a']","[""7b6fb8b5-de1e-45da-93f2-92909e631118""]",1,0,0,0,1,0.0,0.0,2.0,0.0,0.0,"[""The treatment of patients with multiple myeloma with a PD-1 or PD-L1 blocking antibody in combination with a thalidomide analogue plus dexamethasone is not recommended outside of controlled trials."", ""Increased mortality was observed in two randomized trials.""]",[],0.6666666666666666,0.9451111368606021,0.8419119725418143
k3,3,default,0,1000,250,standard,"What is the difference in Objective Response Rate (ORR) between the two groups, and what is the p-value associated with this difference?","The difference in Objective Response Rate (ORR) between the two groups is 23.6% with a 95% Confidence Interval of (9.9, 36.4), and the p-value associated with this difference is 0.0008.",Insufficient Information.,"['|                          | p-Value†                              |                       | <0.0001           |\n| n=101                    |                                       |                       | n=103             |\n| Objective Response Rate‡ | ORR (95% CI)                          | 58% (48, 68)          | 35% (26, 45)      |\n|                          | Difference (95% CI)                   |                       | 23.6% (9.9, 36.4) |\n|                          | p-Value§                              | 0.0008                |                   |\n| Duration of Response‡    | Median duration of response in months | 7.2 (2.4, 12.4+)      | 4.9 (2.0, 12.4+)  |\n|                          | (range)                               |                       |                   |  \n* Based on the stratified Cox proportional hazard model  \n† Based on a stratified log-rank test  \n‡ ORR primary analysis and DoR analysis were conducted with the first 204 patients enrolled.', '| p-Value§                | < 0.0001                                                                                                         |                                                              |\n| Objective Response Rate | ORR¶ (95% CI) 68% (62, 74) Complete response rate 23% Partial response rate 45%                                  | 50% (44, 56) 13% 37%                                         |\n| Duration of Response    | Median in months (range) 18.0 (1.3+, 24.2+)                                                                      | 10.4 (1.5+, 22.0+)                                           |  \n* Chemotherapy (paclitaxel and cisplatin or paclitaxel and carboplatin)  \n† Based on the stratified Cox proportional hazard model  \n‡ p-Value (one-sided) is compared with the allocated alpha of 0.0055 for this interim analysis  \n§ (with 72% of the planned number of events for final analysis)', '|                                       | p-Value¶                               |                                 |\n|                                       | 0.0012                                 |                                 |\n| Objective Response Rate (Confirmed)\\* | ORR (95% CI)                           | ORR (95% CI)                    |\n|                                       | 53% (46, 59)                           | 41% (31, 51)                    |\n|                                       | Complete response rate                 | Complete response rate          |\n|                                       | 17%                                    | 14%                             |\n|                                       | Partial response rate                  | Partial response rate           |\n|                                       | 35%                                    | 27%                             |']",9acd8c04-4fb6-4c53-a2e6-138e45a4ab57,"['9acd8c04-4fb6-4c53-a2e6-138e45a4ab57', '22f64e11-4769-4e67-93ed-97685078db03', 'f9603b74-1291-4548-be9d-4ed82f792f08']",[],1,0,0,0,0,0.0,0.0,0.0,0.0,,[],[],0.0,0.0,0.044878019577582993
k3,3,default,0,1000,250,standard,What is the U.S. License Number for KEYTRUDA and when was the Medication Guide last revised?,"The U.S. License Number for KEYTRUDA is 0002, and the Medication Guide was last revised in March 2024.","The U.S. License Number for KEYTRUDA is 0002, and the Medication Guide was last revised in March 2024 [Source: 9925420e-a859-4eec-837a-b71451fb578a].","['Active ingredient: pembrolizumab  \nInactive ingredients: KEYTRUDA injection: L-histidine, polysorbate 80, sucrose, and Water for Injection.  \nU.S. License No. 0002  \nFor patent information: www.msd.com/research/patent  \nManufactured by: Merck Sharp &#x26; Dohme LLC  \nCopyright © 2014-2024 Merck &#x26; Co., Inc., Rahway, NJ, USA, and its affiliates.  \nRahway, NJ 07065, USA  \nAll rights reserved.  \nusmg-mk3475-iv-2403r063  \nThis Medication Guide has been approved by the U.S. Food and Drug Administration. For more information, go to www.keytruda.com. Revised: March 2024  \nReference ID: 5519370', 'The efficacy of KEYTRUDA was investigated in KEYNOTE-017 (NCT02267603) and KEYNOTE-913 (NCT03783078), two multicenter, non-randomized, open-label trials that enrolled 105 patients with recurrent locally advanced or metastatic MCC who had not received prior systemic therapy for their advanced disease. Patients with active autoimmune disease or a medical condition that required immunosuppression were ineligible.  \nPatients received KEYTRUDA 2 mg/kg (KEYNOTE-017) or 200 mg (KEYNOTE-913) every 3 weeks until unacceptable toxicity or disease progression that was symptomatic, rapidly progressive, required urgent intervention, occurred with a decline in performance status, or was confirmed at least 4 weeks later with repeat imaging. Patients without disease progression were treated for up to 24 months.', 'The efficacy of KEYTRUDA was investigated in KEYNOTE-052 (NCT02335424), a multicenter, open-label, single-arm trial in 370 patients with locally advanced or metastatic urothelial carcinoma who had one or more comorbidities, including patients who were not eligible for any platinum-containing chemotherapy. The trial excluded patients with autoimmune disease or a medical condition that required immunosuppression. Patients received KEYTRUDA 200 mg every 3 weeks until unacceptable toxicity or disease progression. Patients with initial radiographic disease progression could receive additional doses of treatment during confirmation of progression unless disease progression was symptomatic, was rapidly progressive, required urgent intervention, or occurred with a decline in performance status. Patients without disease progression could be treated for up to 24 months. Tumor response assessments were performed at 9 weeks after the first dose, then every 6 weeks for the first year, and then']",9925420e-a859-4eec-837a-b71451fb578a,"['9925420e-a859-4eec-837a-b71451fb578a', '3482b1f1-8f35-4f1a-a5a5-a4c93ab86c7c', '0c9b02c6-7b57-47b8-9a20-9a1d7701ad64']","[""9925420e-a859-4eec-837a-b71451fb578a""]",1,0,0,0,1,0.0,0.0,2.0,0.0,0.0,"[""The U.S. License Number for KEYTRUDA is 0002"", ""The Medication Guide was last revised in March 2024""]",[],1.0,1.0000000000000002,0.9979408711429548
k3,3,default,0,1000,250,standard,"What percentage of patients experienced serious adverse reactions of urinary tract infection, urosepsis, and sepsis combined when receiving KEYTRUDA in combination with chemoradiotherapy?","The combined percentage of patients experiencing serious adverse reactions of urinary tract infection, urosepsis, and sepsis is 5.1% (urinary tract infection: 2.7%, urosepsis: 1.4%, and sepsis: 1%).","The percentage of patients who experienced serious adverse reactions of urinary tract infection, urosepsis, and sepsis combined when receiving KEYTRUDA in combination with chemoradiotherapy is 5.1% (urinary tract infection 2.7% + urosepsis 1.4% + sepsis 1%) [Source: 5aa532ed-6b3e-437f-94eb-bb5c5eb0f629].","['Fatal adverse reactions occurred in 1.4% of patients receiving KEYTRUDA in combination with chemoradiotherapy, including 1 case each (0.3%) of large intestinal perforation, urosepsis, sepsis, and vaginal hemorrhage.  \nSerious adverse reactions occurred in 30% of patients receiving KEYTRUDA in combination with chemoradiotherapy. Serious adverse reactions occurring in ≥1% of patients included urinary tract infection (2.7%), urosepsis (1.4%), and sepsis (1%).  \nKEYTRUDA was discontinued for adverse reactions in 7% of patients. The most common adverse reaction (≥1%) resulting in permanent discontinuation was diarrhea (1%).  \nAdverse reactions leading to interruption of KEYTRUDA occurred in 43% of patients; the most common adverse reactions leading to interruption of KEYTRUDA (≥2%) were anemia (8%), COVID-19 (6%), SARS-CoV-2 test positive (3.1%), decreased neutrophil count (2.7%), diarrhea (2.7%), urinary tract infection (2.7%), and increased ALT (2.4%).', 'Fatal adverse reactions occurred in 5% of patients treated with KEYTRUDA in combination with enfortumab vedotin, including sepsis (1.6%), bullous dermatitis (0.8%), myasthenia gravis (0.8%), and pneumonitis (0.8%).  \nSerious adverse reactions occurred in 50% of patients receiving KEYTRUDA and enfortumab vedotin. Serious adverse reactions in ≥2% of patients receiving KEYTRUDA in combination with enfortumab vedotin were acute kidney injury (7%), urinary tract infection (7%), urosepsis (5%), hematuria (3.3%), pneumonia (3.3%), pneumonitis (3.3%), sepsis (3.3%), anemia (2.5%), diarrhea (2.5%), hypotension (2.5%), myasthenia gravis (2.5%), myositis (2.5%), and urinary retention (2.5%).  \nPermanent discontinuation of KEYTRUDA occurred in 32% of patients. The most common adverse reactions (≥2%) resulting in permanent discontinuation of KEYTRUDA were pneumonitis (5%), peripheral neuropathy (5%), rash (3.3%), and myasthenia gravis (2.5%).', 'Fatal adverse reactions occurred in 2.5% of patients receiving KEYTRUDA in combination with chemotherapy, including cardio-respiratory arrest (0.7%) and septic shock (0.3%).  \nSerious adverse reactions occurred in 30% of patients receiving KEYTRUDA in combination with paclitaxel, paclitaxel protein-bound, or gemcitabine and carboplatin. Serious adverse reactions in ≥2% of patients were pneumonia (2.9%), anemia (2.2%), and thrombocytopenia (2%).']",5aa532ed-6b3e-437f-94eb-bb5c5eb0f629,"['5aa532ed-6b3e-437f-94eb-bb5c5eb0f629', '1b984752-a19f-40ba-af75-3a37a2ced453', 'b34a2854-72a5-4091-a407-4cf13356ba63']","[""5aa532ed-6b3e-437f-94eb-bb5c5eb0f629""]",1,0,0,0,1,0.0,0.0,4.0,0.0,0.0,"[""The percentage of patients who experienced serious adverse reactions of urinary tract infection, urosepsis, and sepsis combined when receiving KEYTRUDA in combination with chemoradiotherapy is 5.1%."", ""Urinary tract infection 2.7%"", ""Urosepsis 1.4%"", ""Sepsis 1%""]",[],0.8,0.9923151415707716,0.8398498475163741
k3,3,default,0,1000,250,standard,"For adult patients with locally recurrent unresectable or metastatic TNBC, what are the two specific dosage options for KEYTRUDA, and how long can treatment continue according to the provided guidelines?","The two specific dosage options for KEYTRUDA are 200 mg every 3 weeks or 400 mg every 6 weeks. Treatment can continue until disease progression, unacceptable toxicity, or up to 24 months.","For adult patients with locally recurrent unresectable or metastatic TNBC, the two specific dosage options for KEYTRUDA are 200 mg every 3 weeks or 400 mg every 6 weeks. Treatment can continue until disease progression, unacceptable toxicity, or up to 24 months [Source: c80099dd-2993-43a9-bcf4-8604aa0324c4].","['| Adult patients with locally recurrent unresectable or metastatic TNBC                          | 200 mg every 3 weeks\\* or 400 mg every 6 weeks\\* | Until disease progression, unacceptable toxicity, or up to 24 months                                                                                                                                                                                                                                                                                                                                         |  \nReference ID: 5519370  \nAdminister KEYTRUDA prior to chemotherapy when given on the same day.  \n- 30-minute intravenous infusion\n- Refer to the Prescribing Information for the agents administered in combination with KEYTRUDA for recommended dosing information, as appropriate.\n- When axitinib is used in combination with KEYTRUDA, dose escalation of axitinib above the initial 5 mg dose may be considered at intervals of six weeks or longer.', 'Patients were randomized (1:1) to receive KEYTRUDA 200 mg or placebo intravenously every 3 weeks. Treatment continued until RECIST v1.1-defined disease recurrence as determined by the investigator, unacceptable toxicity or up to one year. Tumor assessments were conducted every 12 weeks for the first year, then every 6 months for years 2 to 3, and then annually through year 5. After year 5, imaging was  \nperformed as per local standard of care. The major efficacy outcome measure was investigator-assessed disease-free survival (DFS). An additional efficacy outcome measure was OS.', '| Adult patients with high-risk early-stage TNBC                                                 | 200 mg every 3 weeks\\* or 400 mg every 6 weeks\\* | Neoadjuvant treatment in combination with chemotherapy for 24 weeks (8 doses of 200 mg every 3 weeks or 4 doses of 400 mg every 6 weeks) or until disease progression or unacceptable toxicity, followed by adjuvant treatment with KEYTRUDA as a single agent for up to 27 weeks (9 doses of 200 mg every 3 weeks or 5 doses of 400 mg every 6 weeks) or until disease recurrence or unacceptable toxicity§ |']",c80099dd-2993-43a9-bcf4-8604aa0324c4,"['c80099dd-2993-43a9-bcf4-8604aa0324c4', 'c44a62ec-f33e-4a71-b4ee-b8341065898e', 'db7b3c21-79d4-4466-a141-1981994fe653']","[""c80099dd-2993-43a9-bcf4-8604aa0324c4""]",1,0,0,0,1,0.0,0.0,2.0,0.0,0.0,"[""For adult patients with locally recurrent unresectable or metastatic TNBC, the two specific dosage options for KEYTRUDA are 200 mg every 3 weeks or 400 mg every 6 weeks."", ""Treatment can continue until disease progression, unacceptable toxicity, or up to 24 months.""]",[],1.0,0.8882276378184538,0.9748909151227719
k3,3,default,0,1000,250,standard,"In the KEYNOTE-564 study, what is the percentage difference in Grade 3-4 hyperglycemia between patients receiving KEYTRUDA 200 mg every 3 weeks and those receiving a placebo?",The percentage difference in Grade 3-4 hyperglycemia between patients receiving KEYTRUDA and those receiving a placebo is 3.5% (8% for KEYTRUDA minus 4.5% for placebo).,Insufficient Information.,"['The safety of KEYTRUDA in combination with chemotherapy (paclitaxel and carboplatin) was investigated in KEYNOTE-868, a randomized (1:1), multicenter, double-blind, placebo-controlled trial that enrolled patients with advanced or recurrent endometrial carcinoma [see Clinical Studies (14.17)]. A total of 759 patients received KEYTRUDA 200 mg every 3 weeks and chemotherapy for 6 cycles followed by KEYTRUDA 400 mg every 6 weeks for up to 14 cycles (n=382) or placebo and chemotherapy for 6 cycles followed by placebo for up to 14 cycles (n=377). The median duration of exposure to KEYTRUDA was 5.6 months (range: 1 day to 24.0 months).  \nSerious adverse reactions occurred in 35% of patients receiving KEYTRUDA in combination with chemotherapy, compared to 19% of patients receiving placebo in combination with chemotherapy. Fatal adverse reactions occurred in 1.6% of patients receiving KEYTRUDA in combination with chemotherapy, including COVID-19 (0.5%), and cardiac arrest (0.3%).', 'The median duration of exposure to KEYTRUDA 200 mg every 3 weeks was 13.3 months (range: 1 day to 21.9 months).  \nFatal adverse reactions occurred in 0.9% of patients receiving KEYTRUDA, including 1 each of adrenal crisis, autoimmune encephalitis, hepatitis, pneumonia, pneumonitis, pulmonary embolism, and sepsis in association with multiple organ dysfunction syndrome and myocardial infarction.  \nSerious adverse reactions occurred in 44% of patients receiving KEYTRUDA. Serious adverse reactions in ≥2% of patients who received KEYTRUDA included febrile neutropenia (15%), pyrexia (3.7%), anemia (2.6%), and neutropenia (2.2%).', 'The median duration of exposure to KEYTRUDA 200 mg every 3 weeks was 6.9 months (range: 1 day to 25.2 months). Sixty-one percent of patients in the KEYTRUDA arm were exposed to KEYTRUDA for ≥6 months.  \nAdverse reactions occurring in patients with MPM were generally similar to those in other patients receiving KEYTRUDA in combination with pemetrexed and platinum chemotherapy.']",1cbac669-2485-4a3c-806e-879a629bd679,"['d875d005-094b-4b29-9f6e-3835b709cda1', 'a96c6c22-9aa5-46dc-9f98-e2288831d136', 'ffcb91d1-062c-42d9-93e2-8b1470fe612a']",[],0,0,0,0,0,0.0,0.0,0.0,0.0,,[],[],0.0,0.0,0.03294784384656074
k3,3,default,0,1000,250,standard,"For what specific type of gastric cancer is Keytruda approved for use in combination with trastuzumab, fluoropyrimidine, and platinum-containing chemotherapy?","Keytruda is approved in combination with trastuzumab, fluoropyrimidine, and platinum-containing chemotherapy for the first-line treatment of adults with locally advanced unresectable or metastatic HER2-positive gastric or gastroesophageal junction (GEJ) adenocarcinoma whose tumors express PD-L1 (CPS ≥1) as determined by an FDA-approved test.","Keytruda is approved for use in combination with trastuzumab, fluoropyrimidine, and platinum-containing chemotherapy for the first-line treatment of adults with locally advanced unresectable or metastatic HER2-positive gastric or gastroesophageal junction (GEJ) adenocarcinoma whose tumors express PD-L1 (CPS ≥1) as determined by an FDA-approved test [Source: d6e2ba59-469b-4c6e-802a-072df599f45b].","['KEYTRUDA, in combination with trastuzumab, fluoropyrimidine- and platinum-containing chemotherapy, is indicated for the first-line treatment of adults with locally advanced unresectable or metastatic HER2-positive gastric or gastroesophageal junction (GEJ) adenocarcinoma whose tumors express PD-L1 (CPS ≥1) as determined by an FDA-approved test [see Dosage and Administration (2.1)].  \nThis indication is approved under accelerated approval based on tumor response rate and durability of response [see Clinical Studies (14.10)]. Continued approval of this indication may be contingent upon verification and description of clinical benefit in the confirmatory trials.  \nKEYTRUDA, in combination with fluoropyrimidine- and platinum-containing chemotherapy, is indicated for the first-line treatment of adults with locally advanced unresectable or metastatic HER2-negative gastric or gastroesophageal junction (GEJ) adenocarcinoma.', 'The efficacy of KEYTRUDA in combination with trastuzumab plus fluoropyrimidine and platinum chemotherapy was investigated in KEYNOTE-811 (NCT03615326), a multicenter, randomized, double-blind, placebo-controlled trial that enrolled 698 patients with HER2-positive advanced gastric or gastroesophageal junction (GEJ) adenocarcinoma who had not previously received systemic therapy for metastatic disease. PD-L1 status was determined using the PD-L1 IHC 22C3 pharmDx™ kit. Patients with an autoimmune disease that required systemic therapy within 2 years of treatment or a medical condition that required immunosuppression were ineligible. Randomization was stratified by PD-L1 expression (CPS ≥1 or CPS &#x3C;1), chemotherapy regimen (5-FU plus cisplatin [FP] or capecitabine plus oxaliplatin [CAPOX]), and geographic region (Europe/Israel/North America/Australia, Asia, or Rest of the World). Patients were randomized (1:1) to one of the following treatment arms:', 'The efficacy of KEYTRUDA in combination with fluoropyrimidine- and platinum-containing chemotherapy was investigated in KEYNOTE-859 (NCT03675737), a multicenter, randomized, double-blind, placebo-controlled trial that enrolled 1579 patients with HER2-negative advanced gastric or GEJ adenocarcinoma who had not previously received systemic therapy for metastatic disease. Patients with an autoimmune disease that required systemic therapy within 2 years of treatment or a medical condition that required immunosuppression were ineligible. Randomization was stratified by PD-L1 expression (CPS ≥1 or CPS &#x3C;1), chemotherapy regimen (FP or CAPOX), and geographic region (Europe/Israel/North America/Australia, Asia, or Rest of the World). Patients were randomized (1:1) to one of the following treatment arms; treatment was administered prior to chemotherapy on Day 1 of each cycle:']",85987990-5895-4eee-a543-5401381acf7c,"['d6e2ba59-469b-4c6e-802a-072df599f45b', '86c77ac1-82b7-4d08-be2d-7b2e3590879d', 'b51f6646-f7a5-4c99-a191-dbacf03cca3a']","[""d6e2ba59-469b-4c6e-802a-072df599f45b""]",0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,"[""Keytruda is approved for use in combination with trastuzumab, fluoropyrimidine, and platinum-containing chemotherapy for the first-line treatment of adults with locally advanced unresectable or metastatic HER2-positive gastric or gastroesophageal junction (GEJ) adenocarcinoma whose tumors express PD-L1 (CPS \u22651) as determined by an FDA-approved test""]",[],1.0,0.8090550111339952,0.9960858717163557
k3,3,default,0,1000,250,standard,"In patients with urothelial cancer, what is the percentage difference in the occurrence of nausea compared to weight loss, and how do their respective severe case percentages compare?","The occurrence of nausea is 26%, while weight loss is 33%, resulting in a difference of 7% more for weight loss. The percentage of severe cases for nausea is 1.6%, whereas for weight loss it is 3.6%. Thus, severe cases are 2% more for weight loss compared to nausea.",Insufficient Information.,"['Randomization was stratified by cisplatin eligibility, PD-L1 expression, and presence of liver metastases. The median age was 69 years (range: 22 to 91); 77% were male; 67% were White, 22% were Asian, 1% were Black or African American, and 10% were unknown or other; 12% were Hispanic or Latino. Patients had a baseline ECOG performance status of 0 (49%), 1 (47%), or 2 (3%). Forty-seven percent of patients had a documented baseline HbA1c of &#x3C;5.7%. At baseline, 95% of patients had metastatic urothelial cancer, including 72% with visceral and 22% with liver metastases, and 5% had locally advanced urothelial cancer. Eighty-five percent of patients had urothelial carcinoma (UC) histology including 6% with UC mixed squamous differentiation and 2% with UC mixed other histologic variants. Forty-six percent of patients were considered cisplatin-ineligible and 54% were considered cisplatin-eligible at time of randomization.', '| Nausea                                               | 36           | 0.8       |\n| Constipation                                         | 27           | 0         |\n| Metabolism and nutrition disorders                   |              |           |\n| Decreased appetite                                   | 38           | 0.8       |\n| Infections and infestations                          |              |           |\n| Urinary tract infection                              | 30           | 12        |\n| Eye disorders                                        |              |           |\n| Dry eye                                              | 25           | 0         |\n| Musculoskeletal and connective tissue disorders      |              |           |\n| Arthralgia                                           | 23           | 1.7       |  \n* Graded per NCI CTCAE v4.03', 'In the KEYTRUDA arm versus placebo, there was a difference of ≥5% incidence between patients treated with KEYTRUDA versus standard of care for diarrhea (53% vs 44%) and nausea (49% vs 44%). There were no clinically meaningful differences in incidence of Grade 3-4 toxicity between arms. There was a difference of ≥5% incidence between patients treated with KEYTRUDA versus standard of care for increased creatinine (20% vs 10%). There were no clinically meaningful differences in incidence of Grade 3-4 toxicity between arms.']",5f45b134-cf00-4072-900f-ea6a0cee3869,"['e40a4e70-9a2c-4bce-8a41-6c49d1111c88', '32db9e01-41d5-43c6-a8ee-3e2df5b18928', 'e6ec87ba-b1c2-41b4-aaa7-f16ac40714bd']",[],0,0,0,0,0,0.0,0.0,0.0,0.0,,[],[],1.0,0.0,0.022838653113788902
k3,3,default,0,1000,250,standard,"In the KEYNOTE-811 study, how many patients were treated with KEYTRUDA and FP every 3 weeks, and what was the median duration of exposure to KEYTRUDA in months?","28 patients were treated with KEYTRUDA and FP every 3 weeks, with a median duration of exposure to KEYTRUDA being 5.8 months.","In the KEYNOTE-811 study, 28 patients were treated with KEYTRUDA and FP every 3 weeks. The median duration of exposure to KEYTRUDA was 5.8 months [Source: 4b765c37-d1c9-4a63-84ac-1f401318a50e].","['The safety of KEYTRUDA was evaluated in 433 patients with HER2-positive gastric or GEJ cancer enrolled in KEYNOTE-811, which included 217 patients treated with KEYTRUDA 200 mg, trastuzumab, and CAPOX (n=189) or FP (n=28) every 3 weeks, compared to 216 patients treated with placebo, trastuzumab, and CAPOX (n=187) or FP (n=29) every 3 weeks [see Clinical Studies (14.10)]. The median duration of exposure to KEYTRUDA was 5.8 months (range: 1 day to 17.7 months).', 'disease that required systemic therapy within 2 years of treatment; a medical condition that required immunosuppression; or who had received more than 30 Gy of thoracic radiation within the prior 26 weeks were ineligible. The median duration of exposure to KEYTRUDA 200 mg every 3 weeks was 7.2 months (range: 1 day to 20.1 months). Sixty percent of patients in the KEYTRUDA arm were exposed to KEYTRUDA for ≥6 months. Seventy-two percent of patients received carboplatin.', 'The median duration of exposure was 5.6 months (range: 1 day to 11.0 months) for KEYTRUDA and similar in both treatment arms. Fifty-one and 46% of patients received KEYTRUDA 10 mg/kg every 2 or 3 weeks, respectively, for ≥6 months. No patients in either arm received treatment for more than one year.  \nThe study population characteristics were: median age of 62 years (range: 18 to 89); 60% male; 98% White; 32% had an elevated lactate dehydrogenase (LDH) value at baseline; 65% had M1c stage disease; 9% with history of brain metastasis; and approximately 36% had been previously treated with systemic therapy which included a BRAF inhibitor (15%), chemotherapy (13%), and immunotherapy (6%).']",4b765c37-d1c9-4a63-84ac-1f401318a50e,"['4b765c37-d1c9-4a63-84ac-1f401318a50e', '49af77c0-4613-44fc-bfb1-98e257432d5e', '9977b1b6-7a92-446d-a967-7384974fcec9']","[""4b765c37-d1c9-4a63-84ac-1f401318a50e""]",1,0,0,0,1,0.0,0.0,2.0,0.0,0.0,"[""28 patients were treated with KEYTRUDA and FP every 3 weeks."", ""The median duration of exposure to KEYTRUDA was 5.8 months.""]",[],1.0,0.801882138184134,0.9831413544089209
