experiment_id,exp_top_k,exp_prompt_preset,exp_strict_citation_postprocess,exp_chunk_size,exp_chunk_overlap,exp_header_preset,question,ground_truth,generated_answer,contexts,gold_chunk_id,retrieved_ids,cited_chunk_ids,recall_at_5,citation_hallucination,citation_issue_pre_strict,strict_abstention_applied,gold_chunk_cited,context_hallucination,context_hallucination_severity,total_claims,unsupported_claim_count,claim_level_hallucination_rate,atomic_claims_json,unsupported_claims_json,faithfulness,answer_relevancy,answer_correctness
k3,3,default,0,1000,250,standard,"In Study JIA-I, what percentage of subjects experienced injection site pain or injection site reaction within the first 16 weeks of treatment with HUMIRA, and how does this compare to the percentage of subjects who experienced non-serious hypersensitivity reactions in the first 48 weeks?","Within the first 16 weeks of treatment with HUMIRA, 19% of subjects experienced injection site pain and 16% experienced injection site reaction. In comparison, approximately 6% of subjects experienced non-serious hypersensitivity reactions in the first 48 weeks.","In Study JIA-I, 19% of subjects experienced injection site pain and 16% experienced injection site reactions within the first 16 weeks of treatment with HUMIRA [Source: 09b70a37-f3f9-4176-a51c-a25c8e583dd4]. In comparison, approximately 6% of subjects experienced non-serious hypersensitivity reactions in the first 48 weeks [Source: 09b70a37-f3f9-4176-a51c-a25c8e583dd4].","['In Study JIA-I, 45% of subjects experienced an infection while receiving HUMIRA with or without concomitant MTX in the first 16 weeks of treatment. The types of infections reported in HUMIRA-treated subjects were generally similar to those commonly seen in polyarticular JIA subjects who are not treated with TNF blockers. Upon initiation of treatment, the most common adverse reactions occurring in this population treated with HUMIRA were injection site pain and injection site reaction (19% and 16%, respectively). A less commonly reported adverse event in subjects receiving HUMIRA was granuloma annulare which did not lead to discontinuation of HUMIRA treatment.  \nIn the first 48 weeks of treatment in Study JIA-I, non-serious hypersensitivity reactions were seen in approximately 6% of subjects and included primarily localized allergic hypersensitivity reactions and allergic rash.', 'In the first 48 weeks of treatment in Study JIA-I, non-serious hypersensitivity reactions were seen in approximately 6% of subjects and included primarily localized allergic hypersensitivity reactions and allergic rash.  \nIn Study JIA-I, 10% of subjects treated with HUMIRA who had negative baseline anti-dsDNA antibodies developed positive titers after 48 weeks of treatment. No subject developed clinical signs of autoimmunity during the clinical trial.  \nApproximately 15% of subjects treated with HUMIRA developed mild-to-moderate elevations of creatine phosphokinase (CPK) in Study JIA-I. Elevations exceeding 5 times the upper limit of normal were observed in several subjects. CPK concentrations decreased or returned to normal in all subjects. Most subjects were able to continue HUMIRA without interruption.', 'Because clinical trials are conducted under widely varying conditions, adverse reaction rates observed in the clinical trials of a drug cannot be directly compared to rates in the clinical trials of another drug and may not reflect the rates observed in practice.  \nThe most common adverse reaction with HUMIRA was injection site reactions. In placebo-controlled trials, 20% of subjects treated with HUMIRA developed injection site reactions (erythema and/or itching, hemorrhage, pain or swelling), compared to 14% of subjects receiving placebo. Most injection site reactions were described as mild and generally did not necessitate drug discontinuation.']",09b70a37-f3f9-4176-a51c-a25c8e583dd4,"['09b70a37-f3f9-4176-a51c-a25c8e583dd4', 'd249f498-e60d-4ceb-84ef-777128e4b75f', 'fc316983-4291-4c0b-9cd6-15672fb3a5f3']","[""09b70a37-f3f9-4176-a51c-a25c8e583dd4"", ""09b70a37-f3f9-4176-a51c-a25c8e583dd4""]",1,0,0,0,1,0.0,0.0,3.0,0.0,0.0,"[""In Study JIA-I, 19% of subjects experienced injection site pain within the first 16 weeks of treatment with HUMIRA."", ""In Study JIA-I, 16% of subjects experienced injection site reactions within the first 16 weeks of treatment with HUMIRA."", ""Approximately 6% of subjects experienced non-serious hypersensitivity reactions in the first 48 weeks.""]",[],1.0,0.9132826243926406,0.9815591591993682
k3,3,default,0,1000,250,standard,"In controlled Phase 3 trials of HUMIRA, what percentage of subjects with polyarticular JIA aged 4 to 17 years experienced ALT elevations ≥ 3 x ULN when treated with HUMIRA, and how does this compare to the percentage of control-treated subjects?","In the controlled Phase 3 trial of HUMIRA in subjects with polyarticular JIA aged 4 to 17 years, 4.4% of HUMIRA-treated subjects experienced ALT elevations ≥ 3 x ULN compared to 1.5% of control-treated subjects.","In controlled Phase 3 trials of HUMIRA in subjects with polyarticular JIA aged 4 to 17 years, 4.4% of HUMIRA-treated subjects experienced ALT elevations ≥ 3 x ULN, compared to 1.5% of control-treated subjects [Source: a313d3f7-4a22-4735-b258-2cd1ad49161f].","['There have been reports of severe hepatic reactions including acute liver failure in subjects receiving TNF-blockers. In controlled Phase 3 trials of HUMIRA (40 mg SC every other week) in subjects with RA, PsA, and AS with control period duration ranging from 4 to 104 weeks, ALT elevations ≥ 3 x ULN occurred in 3.5% of HUMIRA-treated subjects and 1.5% of control-treated subjects. Since many of these subjects in these trials were also taking medications that cause liver enzyme elevations (e.g., NSAIDS, MTX), the relationship between HUMIRA and the liver enzyme elevations is not clear. In a controlled Phase 3 trial of HUMIRA in subjects with polyarticular JIA who were 4 to 17 years, ALT elevations ≥ 3 x ULN occurred in 4.4% of HUMIRA-treated subjects and 1.5% of control-treated subjects (ALT more common than AST); liver enzyme test elevations were more frequent among those treated with the combination of HUMIRA and MTX than those treated with HUMIRA alone. In general, these elevations', 'In controlled Phase 3 trials of HUMIRA (initial doses of 160 mg and 80 mg, or 80 mg and 40 mg on Days 1 and 15, respectively, followed by 40 mg every other week) in adult subjects with Crohn’s Disease with a control period duration ranging from 4 to 52 weeks, ALT elevations ≥ 3 x ULN occurred in 0.9% of HUMIRA-treated subjects and 0.9% of control-treated subjects. In the Phase 3 trial of HUMIRA in pediatric subjects with Crohn’s disease which evaluated efficacy and safety of two body weight based maintenance dose regimens following body weight based induction therapy up to 52 weeks of treatment, ALT elevations ≥ 3 x ULN occurred in 2.6% (5/192) of subjects, of whom 4 were receiving concomitant immunosuppressants at baseline; none of these subjects discontinued due to abnormalities in ALT tests. In controlled Phase 3 trials of HUMIRA (initial doses of 160 mg and 80 mg on Days 1 and 15 respectively, followed by 40 mg every other week) in adult subjects with UC with control period', 'these subjects discontinued due to abnormalities in ALT tests. In controlled Phase 3 trials of HUMIRA (initial doses of 160 mg and 80 mg on Days 1 and 15 respectively, followed by 40 mg every other week) in adult subjects with UC with control period duration ranging from 1 to 52 weeks, ALT elevations ≥3 x ULN occurred in 1.5% of HUMIRA-treated subjects and 1.0% of control-treated subjects. In the controlled Phase 3 trial of HUMIRA in subjects with pediatric ulcerative colitis (N=93), which evaluated efficacy and safety of a maintenance dose of 0.6 mg/kg (maximum of 40 mg) every other week (N=31) and a maintenance dose of 0.6 mg/kg (maximum of 40 mg) every week (N=32), following body weight based induction doses of 2.4 mg/kg (maximum of 160 mg) at Week 0 and']",a313d3f7-4a22-4735-b258-2cd1ad49161f,"['a313d3f7-4a22-4735-b258-2cd1ad49161f', '8eeb7f42-833b-472a-80e1-4414febdfdfd', '18b2c42e-f33a-4828-b48f-7466091d2191']","[""a313d3f7-4a22-4735-b258-2cd1ad49161f""]",1,0,0,0,1,0.0,0.0,2.0,0.0,0.0,"[""In controlled Phase 3 trials of HUMIRA in subjects with polyarticular JIA aged 4 to 17 years, 4.4% of HUMIRA-treated subjects experienced ALT elevations \u2265 3 x ULN."", ""In controlled Phase 3 trials of HUMIRA in subjects with polyarticular JIA aged 4 to 17 years, 1.5% of control-treated subjects experienced ALT elevations \u2265 3 x ULN.""]",[],1.0,0.925059648305801,0.8473306800774794
k3,3,default,0,1000,250,standard,"What specific component in the HUMIRA 40 mg/0.8 mL Pen and prefilled syringe should latex-sensitive patients be cautious of, and what action should patients take if they experience severe hypersensitivity reactions?",Latex-sensitive patients should be cautious of the natural rubber latex that may be present in the needle cap of the HUMIRA 40 mg/0.8 mL Pen and prefilled syringe. Patients should seek immediate medical attention if they experience any symptoms of severe hypersensitivity reactions.,"Latex-sensitive patients should be cautious of the needle cap of the HUMIRA 40 mg/0.8 mL Pen and prefilled syringe, as it may contain natural rubber latex [Source: 77632827-58ba-43ac-bd25-e964d893d924]. If patients experience severe hypersensitivity reactions, they should seek immediate medical attention [Source: 77632827-58ba-43ac-bd25-e964d893d924].","['Advise patients to seek immediate medical attention if they experience any symptoms of severe hypersensitivity reactions. Advise latex-sensitive patients that the needle cap of the HUMIRA 40 mg/0.8 mL Pen and 40 mg/0.8 mL prefilled syringe may contain natural rubber latex [see Warnings and Precautions (5.3), How Supplied/Storage and Handling (16)].', 'or prefilled syringe if a physician determines that it is appropriate, and with medical follow-up, as necessary, after proper training in subcutaneous injection technique. HUMIRA can be taken out of the refrigerator for 15 to 30 minutes before injecting to allow the liquid to come to room temperature. Do not remove the cap or cover while allowing it to reach room temperature. Carefully inspect the solution in the HUMIRA Pen or prefilled syringe for particulate matter and discoloration prior to subcutaneous administration. If particulates and discolorations are noted, do not use the product. HUMIRA does not contain preservatives; therefore, discard unused portions of drug remaining from the syringe. NOTE: Instruct patients sensitive to latex not to handle the needle cover of the HUMIRA 40 mg/0.8 mL Pen and 40 mg/0.8 mL prefilled syringe because it may contain natural rubber latex [see How Supplied/Storage and Handling (16)].', 'HUMIRA® (adalimumab) is supplied as a preservative-free, sterile, clear and colorless solution for subcutaneous administration. The following packaging configurations are available.  \n- HUMIRA Pen Carton - 40 mg/0.8 mL\n- HUMIRA is supplied in a carton containing two alcohol preps and two dose trays. Each dose tray consists of a single-dose pen, containing a 1 mL prefilled glass syringe with a fixed ½ inch needle, providing 40 mg/0.8 mL of HUMIRA. The needle cover may contain natural rubber latex. The NDC number is 0074-4339-02.  \nHUMIRA Pen Carton - 40 mg/0.4 mL']",77632827-58ba-43ac-bd25-e964d893d924,"['77632827-58ba-43ac-bd25-e964d893d924', 'd20feade-f8c7-4760-b2c4-549d1b6cb96f', '109856ad-4ef8-4531-ae33-aa0788bdd278']","[""77632827-58ba-43ac-bd25-e964d893d924"", ""77632827-58ba-43ac-bd25-e964d893d924""]",1,0,0,0,1,0.0,0.0,2.0,0.0,0.0,"[""Latex-sensitive patients should be cautious of the needle cap of the HUMIRA 40 mg/0.8 mL Pen and prefilled syringe, as it may contain natural rubber latex."", ""If patients experience severe hypersensitivity reactions, they should seek immediate medical attention.""]",[],1.0,0.8763273346096164,0.9940628273158891
k3,3,default,0,1000,250,standard,What angle should the white needle sleeve be placed against the injection site according to the Humira_Label.pdf Section: ABDOMEN?,The white needle sleeve should be placed at a 90-degree angle against the injection site.,The white needle sleeve should be placed straight at a 90-degree angle against the injection site according to the Humira_Label.pdf Section: ABDOMEN [Source: 0017cdff-8d0b-491b-9aad-836147ea7688].,"['Place the white needle sleeve straight (90-degree angle) against the injection site.  \nHold the Pen so that you can see the inspection window.  \nDo not press the plum activator button until you are ready to inject.  \nIt is important that you firmly push the Pen down all the way against the injection site before starting the injection.  \nKeep pushing down to prevent the Pen from moving away from the skin during the injection.', 'Place the white needle sleeve straight (90-degree angle) against the injection site. Hold the Pen so that you can see the inspection window.  \nDo not press the plum activator button until you are ready to inject.', 'Point the gray arrow toward the injection site.  \nPlace the white needle sleeve straight (90-degree angle) against the injection site.  \nHold the Pen so that you can see the inspection window.  \nDo not press the plum activator button until you are ready to inject.  \nIt is important that you firmly push the Pen down all the way against the injection site before starting the injection.']",0017cdff-8d0b-491b-9aad-836147ea7688,"['ae72f01a-93f4-4b4c-95a8-a4ca1375ac88', '2fec103d-c67f-4aeb-a71f-c7512764ac78', '0017cdff-8d0b-491b-9aad-836147ea7688']","[""0017cdff-8d0b-491b-9aad-836147ea7688""]",1,0,0,0,1,0.0,0.0,1.0,0.0,0.0,"[""The white needle sleeve should be placed straight at a 90-degree angle against the injection site according to the Humira_Label.pdf Section: ABDOMEN""]",[],0.5,0.9056956058365883,0.7092080373139089
k3,3,default,0,1000,250,standard,"What is the duration, in years and months, that the '2 in 1 CARTON' package was marketed according to the Humira_Label.pdf?","The '2 in 1 CARTON' package was marketed for 11 years and 3 months from February 21, 2008, to May 31, 2019.",Insufficient Information.,"['| Package Description                           | Marketing Start Date | Marketing End Date |\n| --------------------------------------------- | -------------------- | ------------------ |\n| 2 in 1 CARTON                                 | 06/23/2006           |                    |\n| 1 in 1 KIT; Type 0: Not a Combination Product |                      |                    |\n| 4 in 1 CARTON                                 | 06/23/2006           | 07/31/2024         |\n| 1 in 1 KIT; Type 0: Not a Combination Product |                      |                    |\n| 2 in 1 CARTON                                 | 06/23/2008           | 03/31/2019         |\n| 1 in 1 KIT; Type 0: Not a Combination Product |                      |                    |\n| 6 in 1 CARTON                                 | 06/23/2006           | 03/31/2019         |\n| 1 in 1 KIT; Type 0: Not a Combination Product |                      |                    |', '| Package Description                           | Marketing Start Date | Marketing End Date |\n| --------------------------------------------- | -------------------- | ------------------ |\n| 2 in 1 CARTON                                 | 10/17/2016           | 07/31/2024         |\n| 1 in 1 KIT; Type 0: Not a Combination Product |                      |                    |', '- 2 dose trays (each containing 1 single-dose prefilled syringe with 29 gauge 1/2 inch length fixed needle)\n- 2 alcohol preps\n- 1 package insert\n- 1 Medication Guide\n- 1 Instructions for Use  \nThe entire carton is to be dispensed as a unit  \nDo not accept if seal is broken or missing  \nReturn to pharmacy if dose tray seal is broken or missing  \nHUMIRA.com  \nRx only  \nabbvie  \nREAD FIRST']",7cb23a81-a701-4451-8f5a-7ceefafcf250,"['73bd6801-4b0a-44e5-90ea-bdc2a5d747c0', '7b12c559-2876-4756-b319-47b610345491', 'd660dda4-0331-464e-b67f-fdda504006be']",[],0,0,0,0,0,0.0,0.0,0.0,0.0,,[],[],0.0,0.0,0.02977825010467187
k3,3,default,0,1000,250,standard,"Based on the information from the Humira_Label.pdf, how many distinct packaging items are listed for marketing, and what are their descriptions?","There are two distinct packaging items listed for marketing: '1 in 1 TRAY' and '0.4 mL in 1 SYRINGE; Type 3: Prefilled Biologic Delivery Device/System (syringe, patch, etc.)'.",Insufficient Information.,"['- 2 dose trays (each containing 1 single-dose prefilled pen with 1/2 inch length fixed needle)\n- 2 alcohol preps\n- 1 Medication Guide\n- 1 package insert\n- 1 Instructions for Use  \nwww.HUMIRA.com  \nRx only  \nabbvie', '- 3 dose trays (each containing 1 single-dose prefilled pen with 29 gauge 1/2 inch length fixed needle)\n- 4 alcohol preps\n- 1 package insert\n- 1 Medication Guide\n- 1 Instructions for Use  \nThe entire carton is to be dispensed as a unit  \nDo not accept if seal is broken or missing  \nStore in carton until time of administration  \nReturn to pharmacy if dose tray seal is broken or missing  \nabbvie  \nHUMIRA', '- 2 dose trays (each containing 1 single-dose prefilled syringe with 29 gauge 1/2 inch length fixed needle)\n- 2 alcohol preps\n- 1 Medication Guide\n- 1 package insert\n- 1 Instructions for Use  \nRx only  \nHUMIRA.com  \nabbvie  \nF3']",baaa68ec-88b6-45b7-8b70-03aef9a9ffd1,"['f5d68815-620d-42d2-bbf6-63ec6bed6b51', '851dac0e-dc97-4c1a-80d4-53bf223c7d2e', '1278e389-7f51-4600-a0d4-ce46cdeb81c5']",[],0,0,0,0,0,0.0,0.0,0.0,0.0,,[],[],0.0,0.0,0.04549050308334214
k3,3,default,0,1000,250,standard,"According to the instructions in the Humira label, what should you do if the Pen's liquid is cloudy, discolored, or has flakes or particles in it?","Do not use the Pen if the liquid is cloudy, discolored, or has flakes or particles in it.","Do not use the Pen if the liquid is cloudy, discolored, or has flakes or particles in it [Source: 70f3518d-13e2-4de1-b285-2e1b5b9d9015].","['Record the date you first remove HUMIRA from the refrigerator in the spaces provided on the carton and dose tray. Do not store HUMIRA in extreme heat or cold.  \nDo not use a Pen or prefilled syringe if the liquid is cloudy, discolored, or has flakes or particles in it. Do not drop or crush HUMIRA. The prefilled syringe is glass.  \nKeep HUMIRA, injection supplies, and all other medicines out of the reach of children.', 'Hold the Pen with the Gray Cap #1 facing up. Check the inspection window. It is normal to see 1 or more bubbles in the inspection window. Make sure the liquid is clear and colorless. Do not use the Pen if the liquid is cloudy, discolored, or has flakes or particles in it. Do not use the Pen if it has been dropped or crushed.  \nPull the Gray Cap #1 straight off. Do not twist the cap. Throw the cap away.', 'Hold the Pen with the Gray Cap #1 facing up. Check the inspection window.  \nIt is normal to see 1 or more bubbles in the inspection window. Make sure the liquid is clear and colorless. Do not use the Pen if the liquid is cloudy, discolored, or has flakes or particles in it. Do not use the Pen if it has been dropped or crushed.']",70f3518d-13e2-4de1-b285-2e1b5b9d9015,"['6cbfc085-270d-4f0d-9a0f-61663c0c5d2b', '70f3518d-13e2-4de1-b285-2e1b5b9d9015', '3009be80-d58c-4da0-9849-2028fabf6e86']","[""70f3518d-13e2-4de1-b285-2e1b5b9d9015""]",1,0,0,0,1,0.0,0.0,1.0,0.0,0.0,"[""Do not use the Pen if the liquid is cloudy, discolored, or has flakes or particles in it""]",[],1.0,0.43463376613951765,0.9897583627681665
k3,3,default,0,1000,250,standard,What are the specific symptoms listed in the context that may indicate an infection before starting HUMIRA?,"The specific symptoms listed are warm, red, or painful skin, fever, sweats, or chills, sores on your body, muscle aches, diarrhea or stomach pain, cough, burning when you urinate, urinate more often than normal, blood in phlegm, feeling very tired, and weight loss.",Insufficient Information.,"['HUMIRA may not be right for you. Before starting HUMIRA, tell your doctor about all of your medical conditions, including if you:  \n- have an infection. See “What is the most important information I should know about HUMIRA?”\n- have or have had cancer.\n- have any numbness or tingling or have a disease that affects your nervous system such as multiple sclerosis or Guillain-Barré syndrome.\n- have or had heart failure.\n- have recently received or are scheduled to receive a vaccine. You may receive vaccines, except for live vaccines while using HUMIRA. Children should be brought up to date with all vaccines before starting HUMIRA.\n- are allergic to rubber or latex. Tell your doctor if you have any allergies to rubber or latex.\n- The needle cover for the HUMIRA Pen 40 mg/0.8 mL and HUMIRA 40 mg/0.8 mL prefilled syringe may contain natural rubber or latex.', 'HUMIRA is a medicine that affects your immune system. HUMIRA can lower the ability of your immune system to fight infections. Serious infections have happened in people taking HUMIRA. These serious infections include tuberculosis (TB) and infections caused by viruses, fungi or bacteria that have spread throughout the body. Some people have died from these infections.  \nYour doctor should test you for TB before starting HUMIRA.  \nYour doctor should check you closely for signs and symptoms of TB during treatment with HUMIRA.  \nYou should not start taking HUMIRA if you have any kind of infection unless your doctor says it is okay.', '- Serious infections: Do not start HUMIRA during an active infection. If an infection develops, monitor carefully, and stop HUMIRA if infection becomes serious. (5.1)\n- Invasive fungal infections: For patients who develop a systemic illness on HUMIRA, consider empiric antifungal therapy for those who reside or travel to regions where mycoses are endemic. (5.1)\n- Malignancies: Incidence of malignancies was greater in HUMIRA-treated patients than in controls (5.2)\n- Anaphylaxis or serious hypersensitivity reactions may occur (5.3)\n- Hepatitis B virus reactivation: Monitor HBV carriers during and several months after therapy. If reactivation occurs, stop HUMIRA and begin anti-viral therapy. (5.4)\n- Demyelinating disease: Exacerbation or new onset, may occur. (5.5)\n- Cytopenias, pancytopenia: Advise patients to seek immediate medical attention if symptoms develop, and consider stopping HUMIRA. (5.6)\n- Heart failure: Worsening or new onset, may occur. (5.8)']",441a0f08-ee92-4802-ab7c-b649a8b6aa8a,"['9e916b45-5b01-4c60-b725-ee3aae92987b', '1a6f628b-5ef9-4f18-94d9-197b27c690a3', '66bc1ebf-50ec-437f-b3d2-a1d38cd538f7']",[],0,0,0,0,0,0.0,0.0,0.0,0.0,,[],[],1.0,0.0,0.023315552560774413
k3,3,default,0,1000,250,standard,What is the difference in the median number of tender joints between the HUMIRA group and the placebo group at 24 weeks?,"The difference in the median number of tender joints between the HUMIRA group and the placebo group at 24 weeks is 12.0, as the HUMIRA group had 5.0 tender joints and the placebo group had 17.0 tender joints.",The difference in the median number of tender joints between the HUMIRA group and the placebo group at 24 weeks is 12.0 (17.0 for placebo and 5.0 for HUMIRA) [Source: 3231a9b9-ab5a-404e-b2eb-9feafd73204a].,"['|                              | Placebo |          |          | HUMIRA\\* |          |\n| ---------------------------- | ------- | -------- | -------- | -------- | -------- |\n|                              | N=162   | N=151    |          |          |          |\n| Parameter: median            |         | Baseline | 24 weeks | Baseline | 24 weeks |\n| Number of tender jointsa     |         | 23.0     | 17.0     | 20.0     | 5.0      |\n| Number of swollen jointsb    |         | 11.0     | 9.0      | 11.0     | 3.0      |\n| Physician global assessmentc |         | 53.0     | 49.0     | 55.0     | 16.0     |\n| Patient global assessmentc   |         | 49.5     | 49.0     | 48.0     | 20.0     |\n| Painc                        |         | 49.0     | 49.0     | 54.0     | 20.0     |\n| Disability index (HAQ)d      |         | 1.0      | 0.9      | 1.0      | 0.4      |\n| CRP (mg/dL)e                 |         | 0.8      | 0.7      | 0.8      | 0.2      |', '| Parameter                       |         |         |       | Study RA-II | Study RA-III |             |\n| ------------------------------- | ------- | ------- | ----- | ----------- | ------------ | ----------- |\n|                                 | Placebo | HUMIRAa |       |             | Placebo/MTX  | HUMIRAa/MTX |\n| (median)                        | N=110   |         | N=113 |             | N=200        | N=207       |\n| Number of tender joints (0-68)  | 35      | 26      | 31    | 16\\*        |              |             |\n| Number of swollen joints (0-66) | 19      | 16      | 18    | 10\\*        |              |             |\n| Physician global assessmentb    | 7.0     | 6.1     | 6.6   | 3.7\\*       |              |             |\n| Patient global assessmentb      | 7.5     | 6.3     | 7.5   | 4.5\\*       |              |             |\n| Painb                           | 7.3     | 6.1     | 7.3   | 4.1\\*       |              |             |', '|                  | Placebo   | HUMIRA     |              |\n| ---------------- | --------- | ---------- | ------------ |\n| N=141            | N=133     |            |              |\n| Week 24          | Week 24   | Week 48    |              |\n| Baseline mean    | 22.1      | 23.4       | 23.4         |\n| Mean Change ± SD | 0.9 ± 3.1 | -0.1 ± 1.7 | -0.2 ± 4.9\\* |  \n* &#x3C;0.001 for the difference between HUMIRA, Week 48 and Placebo, Week 24 (primary analysis)']",3231a9b9-ab5a-404e-b2eb-9feafd73204a,"['3231a9b9-ab5a-404e-b2eb-9feafd73204a', '36fba5ca-d91c-435b-b596-540ebc4edac4', 'ba718f48-fd6a-4cc8-9909-5d5b5db1a653']","[""3231a9b9-ab5a-404e-b2eb-9feafd73204a""]",1,0,0,0,1,0.0,0.0,3.0,0.0,0.0,"[""The difference in the median number of tender joints between the HUMIRA group and the placebo group at 24 weeks is 12.0"", ""The median number of tender joints for the placebo group at 24 weeks is 17.0"", ""The median number of tender joints for the HUMIRA group at 24 weeks is 5.0""]",[],1.0,1.0,0.9956065126214806
k3,3,default,0,1000,250,standard,"What percentage of pediatric subjects in the study had prior experience with a TNF blocker, and how many subjects does this percentage represent?","16% of pediatric subjects had prior experience with a TNF blocker, which represents 15 out of 93 subjects.","In the study, 16% of pediatric subjects had prior experience with a TNF blocker, which represents 15 out of 93 subjects [Source: 4311871d-503a-4aad-8ef7-dc55e9d605d1].","['The safety and efficacy of HUMIRA were assessed in a multicenter, randomized, double-blind trial (Study PUC-I, NCT02065557) in 93 pediatric subjects 5 years to 17 years of age with moderately to severely active ulcerative colitis (Mayo score 6 to 12 with endoscopy subscore of 2 to 3 points, confirmed by centrally read endoscopy) who had an inadequate response or intolerance to therapy with corticosteroids and/or an immunomodulator (i.e., azathioprine, 6-mercaptopurine, or methotrexate). Fifteen out of 93 subjects (16%) in the study had prior experience with a TNF blocker. Subjects who  \nreceived corticosteroids at enrollment were allowed to taper their corticosteroid therapy after Week 4.', 'In the subgroup of subjects in Study UC-II with prior TNF-blocker use, the treatment difference for induction of clinical remission appeared to be lower than that seen in the whole study population, and the treatment differences for sustained clinical remission and clinical remission at Week 52 appeared to be similar to those seen in the whole study population. The subgroup of subjects with prior TNF-blocker use achieved induction of clinical remission at 9% (9/98) in the HUMIRA group versus 7% (7/101) in the placebo group, and sustained clinical remission at 5% (5/98) in the HUMIRA group versus 1% (1/101) in the placebo group. In the subgroup of subjects with prior TNF-blocker use, 10% (10/98) were in clinical remission at Week 52 in the HUMIRA group versus 3% (3/101) in the placebo group.', 'was conducted in 192 pediatric subjects (6 to 17 years of age) with moderately to severely active Crohn’s disease (defined as Pediatric Crohn’s Disease Activity Index (PCDAI) score > 30). Enrolled subjects had over the previous two-year period an inadequate response to corticosteroids or an immunomodulator (i.e., azathioprine, 6-mercaptopurine, or methotrexate). Subjects who had previously received a TNF blocker were allowed to enroll if they had previously had loss of response or intolerance to that TNF blocker.']",4311871d-503a-4aad-8ef7-dc55e9d605d1,"['4311871d-503a-4aad-8ef7-dc55e9d605d1', 'b6d90494-85dc-434d-9406-3e81b2b2347d', 'f7122a93-7cad-4519-9d75-3613aa17efd9']","[""4311871d-503a-4aad-8ef7-dc55e9d605d1""]",1,0,0,0,1,0.0,0.0,2.0,0.0,0.0,"[""16% of pediatric subjects had prior experience with a TNF blocker"", ""This represents 15 out of 93 subjects""]",[],1.0,0.9684119776054948,0.9892649685808562
