question,ground_truth_answer,gold_chunk_id,source_doc,section,groundedness_score
"What is the total balance at December 31, 2023, if you sum the balances of (3,743), (1,216), (134), (3,932), (1,078), and (340) from the given table?","The total balance at December 31, 2023, is $ (10,443), as provided in the context.",5bfac305-99c3-41af-9eab-ad126a9d3fc0,JPM10k2025.pdf,Note 24 – Accumulated other comprehensive income/(loss),5
"What were the after-tax net unamortized unrealized losses for AFS securities transferred to HTM as of the year ended 2024, and how do they compare to the same figure for the year ended 2023?","The after-tax net unamortized unrealized losses for AFS securities transferred to HTM as of the year ended 2024 were $(651) million. This represents a decrease compared to the year ended 2023, which had losses of $(895) million.",55cd7d65-5070-41a2-a9d5-fc61ee0dd61f,JPM10k2025.pdf,Note 24 – Accumulated other comprehensive income/(loss),5
"What is the total allowance for credit losses as of December 31, based on the provided data?","$30,942",49d3f28c-8284-44cd-a462-9db921ffb2a6,JPM10k2025.pdf,Allowance for credit losses and related information,5
"According to the JPMorganChase operational section, what are the two major challenges faced by the company in relation to third-party fraud attempts during market disruptions or economic uncertainty?","The two major challenges are the increase, evolution, and complexity of third-party fraud attempts, and the increased volume of these attempts during periods of market disruption or economic uncertainty.",e4f386d2-14ae-4713-98ec-9bbb9d00682d,JPM10k2025.pdf,Operational,5
"What types of cybersecurity threats is the Firm's security efforts designed to protect against, according to the Overview section of the JPM10k2025 document?","The Firm's security efforts are designed to protect against cybersecurity attacks that can result in unauthorized access to confidential information, the destruction of data, disruptions to or degradations of service, the sabotaging of systems, or other damage.",c822cb59-c8bb-4427-a909-049f8b0c992f,JPM10k2025.pdf,Overview,5
"As of April 1, 2025, what change did the firm make to its VaR models, and what was the effect on the average Total VaR and its components if this change had been applied at the beginning of each year presented?","Effective April 1, 2025, the Firm refined the historical proxy time series inputs to one of its VaR models to better reflect the risk exposure from certain securitization warehousing loan positions. If this refined time series had been applied at the beginning of each year presented, the average Total VaR and each of its components would have been lower by the amounts reported in the provided table.",5bab8de3-0b6d-4cf3-82d1-9744479d3bc8,JPM10k2025.pdf,Management’s discussion and analysis,5
"What is the difference in total consumer credit portfolio exposure between the two periods provided, and how does the credit-related notes adjustment impact this difference?","The total consumer credit portfolio exposure increased by $199,583 from $1,671,825 to $1,871,408. The credit-related notes adjustment was $(485) in the first period and $(479) in the second period, which slightly reduces the increase in exposure.",85e56009-26fd-4a69-a761-5b050a27a873,JPM10k2025.pdf,Consumer credit portfolio,5
"As of December 31, 2025 and 2024, what was the capital status of JPMorgan Chase & Co. and JPMorgan Chase Bank, N.A. in relation to their capital requirements?","As of December 31, 2025 and 2024, JPMorgan Chase & Co. and JPMorgan Chase Bank, N.A. were well-capitalized and met all capital requirements to which each was subject.",b1de35dc-8e28-4f4a-ac12-81b34e1f349b,JPM10k2025.pdf,CECL Regulatory Capital Transition,5
"What was the pretax unrealized gain included in AOCI for the investment securities transferred from AFS to HTM during the third quarter of 2025, and what was the total value of those securities?","The pretax unrealized gain included in AOCI was $575 million, and the total value of the securities transferred was $44.1 billion.",4fdb282e-c3de-452d-9e70-c0ab747c2044,JPM10k2025.pdf,Note 10 – Investment securities,5
"According to the Federal Reserve's GSIB rule as outlined in the JPM10k2025 report, what are the five criteria used to calculate the GSIB surcharge under Method 1, and what does Method 2 use in place of one of these criteria?","Under Method 1, the GSIB surcharge is calculated based on the following five criteria: size, cross-jurisdictional activity, interconnectedness, complexity, and substitutability. Method 2 replaces the criterion of substitutability with a measure of short-term wholesale funding and introduces a GSIB score 'multiplication factor.'",f021074f-7bcd-4bb3-abd7-658ce8c0f7cd,JPM10k2025.pdf,Risk-based Capital Regulatory Requirements,5
