question,ground_truth_answer,gold_chunk_id,source_doc,section,groundedness_score
"In the clinical study of HUMIRA for pediatric subjects with ulcerative colitis, how many total subjects received the higher dosage regimen, and what was the maximum dosage administered at Week 1 for those subjects?","A total of 61 subjects received the higher dosage regimen, consisting of 45 subjects from the initial randomization (3:2 ratio) and 16 additional subjects following the study amendment. The maximum dosage administered at Week 1 for these subjects was 160 mg.",c2a7e9ff-8d45-48a6-8878-70478ec75e68,Humira_Label.pdf,14.8 Clinical Studies in Pediatric Subjects with Ulcerative Colitis,4
"According to the procedure in the Humira label, what should you do with the prefilled syringe to expel air, and what might you observe as a result?","You should hold the prefilled syringe with the needle facing up at eye level with one hand and use your other hand to slowly push the plunger in to push the air out through the needle. As a result, you may see a drop of liquid at the end of the needle, which is normal.",768c9dd3-c5d9-4426-a021-c96f9c194c01,Humira_Label.pdf,Step 4,5
"What is the item code for the 1 mL in 1 PACKET package description listed in the Humira_Label.pdf, and what are the marketing start and end dates for this item?","The item code is not provided for the 1 mL in 1 PACKET package description, and both the marketing start date and marketing end date are not specified.",36bd7fe5-3a4e-45d0-bbb3-78ee7ecaf581,Humira_Label.pdf,Packaging,5
"In the study of plaque psoriasis patients who were on HUMIRA monotherapy, what was the observed rate of antibodies to adalimumab after retreatment compared to the rate prior to withdrawal?",The rate of antibodies to adalimumab after retreatment was similar to the rate observed prior to withdrawal.,873c3a63-cccb-4145-ab57-ec166f45d9d7,Humira_Label.pdf,6.2 Immunogenicity,5
"What is the difference in the mean change of the Total Sharp score between HUMIRA and MTX after 104 weeks, and how does this compare to the difference after 52 weeks?","After 104 weeks, the difference in the mean change of the Total Sharp score between HUMIRA and MTX is 10.4 - 5.5 = 4.9. After 52 weeks, this difference is 5.7 - 3.0 = 2.7. Therefore, the difference increased by 4.9 - 2.7 = 2.2 over the additional 52 weeks.",cc9f043c-4dc2-4fc3-aa67-d145835c61fd,Humira_Label.pdf,Table 7. Radiographic Mean Change* in Study RA-V,4
"In the context of the open-label induction phase of Study PCD-I for pediatric patients aged 6 to 17 years, what percentage of pediatric subjects experienced injection site reactions as an adverse reaction to HUMIRA?",5%,31c3dbab-332a-4621-8ce7-de9af6dfc9b6,Humira_Label.pdf,Pediatric Patients 6 Years to 17 Years,5
What is the difference in the mean steady-state trough concentration of adalimumab at Week 52 between pediatric UC patients aged 5 to 17 years receiving 0.6 mg/kg every other week and those receiving 0.6 mg/kg every week?,The difference in the mean steady-state trough concentration is 10.7 mcg/mL (15.7 mcg/mL for weekly administration minus 5.0 mcg/mL for every other week administration).,d6185e7d-8d4f-4aa9-b601-9dc2e6801ba9,Humira_Label.pdf,Pediatric Crohn's Disease:,5
For which conditions is HUMIRA indicated to inhibit the progression of structural damage according to the context provided?,HUMIRA is indicated to inhibit the progression of structural damage in adult patients with moderately to severely active rheumatoid arthritis and in adult patients with active psoriatic arthritis.,0c5d84e5-279b-4793-a8a0-786c33e62008,Humira_Label.pdf,INDICATIONS AND USAGE,5
"For how many years, months, and days was the OTC Monograph Drug marketed before the BLA product started its marketing according to the provided data?","The OTC Monograph Drug started marketing on 04/13/2011, and the BLA product started marketing on 10/17/2016. Therefore, the OTC Monograph Drug was marketed for 5 years, 6 months, and 4 days before the BLA product started its marketing.",33344103-f868-4dc4-a27d-2fc911c840f7,Humira_Label.pdf,Marketing Information,5
"In Study PsA-I, what is the percentage increase in ACR70 response for HUMIRA from Week 12 to Week 24, and how does it compare to the percentage increase for the placebo group over the same period?","For HUMIRA, the ACR70 response increases from 20% at Week 12 to 23% at Week 24, which is a 3 percentage point increase. For the placebo group, the ACR70 response remains constant at 1% from Week 12 to Week 24, resulting in a 0 percentage point increase. Thus, the increase for HUMIRA is 3 percentage points greater than for the placebo group.",1cddfba5-ecd1-439c-8d6f-3d0cc9019ed2,Humira_Label.pdf,Table 8. ACR Response in Study PsA-I (Percent of Subjects),5
"Based on the context provided, what is the approximate increased risk factor for patients with rheumatoid arthritis (RA) to develop leukemia in the absence of TNF-blocker therapy compared to the general population?","Patients with rheumatoid arthritis (RA) have an approximate 2-fold increased risk compared to the general population for the development of leukemia, even in the absence of TNF-blocker therapy.",c6356757-0189-4602-bf02-b11a018dca6d,Humira_Label.pdf,Lymphoma and Leukemia,5
"What is the marketing start date for the OTC Monograph Drug listed in the Humira_Label.pdf, and how many years after this date did the BLA category start its marketing?","The marketing start date for the OTC Monograph Drug is 04/13/2011. The BLA category started its marketing on 12/31/2002, which is approximately 8 years and 3 months before the OTC Monograph Drug started its marketing.",6b6b5424-e432-4f2d-a424-5a5c32a83e84,Humira_Label.pdf,Marketing Information,5
What is the marketing start date for the application number BLA125057 in the Humira_Label.pdf document?,The marketing start date for the application number BLA125057 is 04/21/2017.,591f742e-2554-4cf4-8979-5cc9e1a59396,Humira_Label.pdf,Marketing Information,5
What is the U.S. License Number and the unique identifier code associated with the manufactured product as mentioned in the Humira_Label.pdf?,The U.S. License Number is 1889 and the unique identifier code is 20098765.,438101ae-fdbe-4089-9c3a-6af927691dda,Humira_Label.pdf,MONTH,5
"What specific type of tuberculosis (TB) has been reported in patients treated with HUMIRA, and what precautionary measure should be taken before and during HUMIRA therapy?","Active tuberculosis (TB), including reactivation of latent TB, has been reported. Patients should be tested for latent TB before using HUMIRA and during therapy, and treatment for latent TB should be initiated prior to HUMIRA use.",c4325f72-d4c1-4ee0-9c23-f113e88449c7,Humira_Label.pdf,SERIOUS INFECTIONS,5
"What is the Application Number associated with the BLA Marketing Category for Humira, and what is the Marketing Start Date for this application?","The Application Number associated with the BLA Marketing Category for Humira is BLA125057, and the Marketing Start Date for this application is 04/21/2017.",658a908a-218a-4c28-97e6-b053045d0072,Humira_Label.pdf,Marketing Information,5
What is the concentration in mg/mL of the HUMIRA Pen that contains 80 mg of the active ingredient?,"The concentration of the HUMIRA Pen that contains 80 mg of the active ingredient is 80 mg/0.8 mL, which simplifies to 100 mg/mL.",92c2df98-8385-4c0b-a635-2f24ff2c20ff,Humira_Label.pdf,INSTRUCTIONS FOR USE,5
"What is the marketing category and the specific application number for the product that started its marketing on December 31, 2002, according to the given context?",The marketing category is 'BLA' and the specific application number is 'BLA125057'.,778f5287-e9d7-4886-a2fc-102558db50df,Humira_Label.pdf,Marketing Information,5
"What is the percentage and fraction of patients who developed immunogenicity in Pediatric Ulcerative Colitis over 52 weeks, and how does it compare to the percentage of patients who developed immunogenicity in Adult Ulcerative Colitis over the same period?","In Pediatric Ulcerative Colitis, 3% (3/100) of patients developed immunogenicity over 52 weeks. In comparison, in Adult Ulcerative Colitis, 5% (19/360) of patients developed immunogenicity over the same 52-week period.",94ecb546-7ac5-493f-be69-65c9ca34ffd9,Humira_Label.pdf,6.2 Immunogenicity,5
"Based on the Week 52 results for patients receiving a maximum of 40 mg (0.6 mg/kg) of the treatment, what is the difference in the percentage of clinical response in Week 8 PMS responders between the two groups reported, and what are their respective 95% confidence intervals?","The difference in the percentage of clinical response in Week 8 PMS responders between the two groups is 35% (68% - 33%). The respective 95% confidence intervals for these groups are (49%, 83%) for the 68% response and (10%, 65%) for the 33% response.",4d7723b0-ae86-4888-a3ea-1435f5ba65be,Humira_Label.pdf,Week 52 Results,5
"Based on the marketing dates provided, which package description has the longest continuous marketing period and how many years is this period?","The '2 in 1 CARTON' with the marketing start date of 06/23/2006 and no specified end date has the longest continuous marketing period, as it is still ongoing. As of October 2023, this period is approximately 17 years and 4 months.",23dcbb93-0e3e-428d-a487-083a105b895b,Humira_Label.pdf,Item Code,5
How many alcohol preps are included in the Humira dose tray carton?,2 alcohol preps,da9e27e7-116f-4d94-8155-d66f702d1d56,Humira_Label.pdf,THIS CARTON CONTAINS:,5
Which section of the Humira labeling discusses the risk of Hepatitis B Virus Reactivation as an adverse reaction?,The risk of Hepatitis B Virus Reactivation as an adverse reaction is discussed in Warnings and Precautions (5.4).,8733c1f9-ae77-4551-9e3c-4ec614fe059d,Humira_Label.pdf,6 ADVERSE REACTIONS,5
"Based on the context provided, which assay, ELISA or ECL, can detect anti-adalimumab antibodies regardless of the serum adalimumab concentration, and at what specific serum adalimumab concentration does ELISA fail to detect antibodies?",The ECL assay can detect anti-adalimumab antibodies regardless of the serum adalimumab concentrations. The ELISA fails to detect antibodies when serum adalimumab concentrations are ≥ 2 mcg/mL.,134b4c84-3009-4f64-aa7a-339f13d8b907,Humira_Label.pdf,6.2 Immunogenicity,5
What is the concentration of ADALIMUMAB in mg/mL as specified in the Humira_Label.pdf?,100 mg/mL,21d180b7-55c1-4dfb-a155-314e96478cb3,Humira_Label.pdf,Active Ingredient/Active Moiety,5
