genre,experiment,recall_at_5,citation_hallucination,gold_chunk_cited,context_hallucination,claim_level_hallucination_rate,faithfulness,answer_relevancy,answer_correctness
fda_label,baseline,0.6499999999999999,0.0,0.6,0.1,0.09375,0.7983333333333333,0.641289073017358,0.6681882618022446
fda_label,baseline_cot,0.6499999999999999,0.0,0.6499999999999999,0.15000000000000002,0.11666666666666667,0.8116666666666668,0.7360318189399148,0.6700810799342567
fda_label,baseline_strict_cite,0.6499999999999999,0.0,0.6,0.1,0.125,0.7916666666666666,0.6018091002187412,0.622966546033416
fda_label,k10,0.75,0.0,0.6,0.10555555555555556,0.05505952380952381,0.8066666666666666,0.6994599227036763,0.7039032543907693
fda_label,k3,0.6499999999999999,0.0,0.6,0.0,0.0,0.6983333333333334,0.5730001011228808,0.6191216116758909
fda_label,k8,0.75,0.0,0.6499999999999999,0.15000000000000002,0.14351851851851852,0.7941666666666667,0.7486140017597056,0.7292961418813644
fda_label,k8_cot,0.75,0.05,0.7,0.15000000000000002,0.0875,0.8345238095238094,0.8597119385745378,0.75263695984922
finance_10k,baseline,0.85,0.0,0.75,0.15000000000000002,0.0875,0.7722222222222221,0.7688911079846292,0.7169219086183458
finance_10k,baseline_cot,0.85,0.0,0.8,0.1,0.05,0.9544444444444444,0.8657438181239965,0.6831389449612977
finance_10k,baseline_strict_cite,0.85,0.0,0.75,0.15000000000000002,0.0875,0.7854545454545455,0.7291400421228909,0.7139086520603075
finance_10k,k10,0.9,0.0,0.8,0.1,0.03229166666666666,0.8291666666666666,0.7576375538651579,0.7125960909149417
finance_10k,k3,0.8,0.0,0.7,0.1,0.048611111111111105,0.8374999999999999,0.660893692672281,0.7155166458348201
finance_10k,k8,0.9,0.0,0.8,0.1,0.040625,0.8274999999999999,0.7466379826605287,0.6914168106650754
finance_10k,k8_cot,0.9,0.1,0.8,0.15000000000000002,0.06,0.8946031746031746,0.8624985561931926,0.6839007586425445
