question,ground_truth_answer,gold_chunk_id,source_doc,section,groundedness_score
Under what specific circumstances can KEYTRUDA be used alone for high-risk non-muscle-invasive bladder cancer (NMIBC) according to the provided context?,"KEYTRUDA may be used alone for high-risk non-muscle-invasive bladder cancer (NMIBC) if the tumor is a type called 'carcinoma in situ' (CIS), the patient has tried treatment with Bacillus Calmette-Guerin (BCG) and it did not work, and the patient is either not able to or has decided not to have surgery to remove their bladder.",778213df-8c19-474e-8699-87bef5e1e0cd,Keytruda_Label.pdf,Indications for KEYTRUDA,5
What is the percentage difference in the occurrence of fatigue as an adverse reaction between patients with endometrial carcinoma and the control group in the KEYNOTE-775 study?,The percentage difference in the occurrence of fatigue between patients with endometrial carcinoma (58%) and the control group (54%) is 4%.,9499ef8b-0927-4396-9911-c5b6e1b40721,Keytruda_Label.pdf,Table 51: Adverse Reactions Occurring in ≥20% of Patients with Endometrial Carcinoma in KEYNOTE-775,5
"In the KEYNOTE-087 trial, what was the intravenous dosage and frequency of KEYTRUDA administered to patients?",Patients received KEYTRUDA 200 mg intravenously every 3 weeks.,37a3860b-b2ea-46cf-abb5-2c15cd932f65,Keytruda_Label.pdf,KEYNOTE-087,5
"What percentage of patients receiving KEYTRUDA experienced a serious adverse reaction of both pneumonia and diarrhea, and what is the combined percentage of fatal adverse reactions due to infection and thromboembolism?","The percentage of patients experiencing a serious adverse reaction of both pneumonia and diarrhea is not directly provided in the context, as these are listed separately as 4.1% for pneumonia and 3.9% for diarrhea. However, the combined percentage of fatal adverse reactions due to infection and thromboembolism is 3.6% (2.3% for infection and 1.3% for thromboembolism).",6fbc74e6-cb49-4793-a543-3e879794ed33,Keytruda_Label.pdf,First-line Treatment of Locally Advanced Unresectable or Metastatic HER2-Negative Gastric or Gastroesophageal Junction Adenocarcinoma,5
What percentage of the study population had an ECOG PS of 0 and what was the most common adverse reaction leading to permanent discontinuation of KEYTRUDA?,"44% of the study population had an ECOG PS of 0, and the most common adverse reaction leading to permanent discontinuation of KEYTRUDA was pneumonitis (1.4%).",78cd6683-a4d3-48ba-b029-da7c5b516d98,Keytruda_Label.pdf,First-line Treatment of Locally Advanced Unresectable or Metastatic HER2-Positive Gastric or Gastroesophageal Junction Adenocarcinoma,5
"What were the percentages of deaths at the time of the Progression-Free Survival (PFS) analysis in the dMMR and pMMR populations, respectively, as reported in the KEYTRUDA trial KEYNOTE-868?","At the time of the PFS analysis, the percentages of deaths were 12% in the dMMR population and 17% in the pMMR population.",4f44bad0-d7c5-4a7d-afa8-1c7cddcaa133,Keytruda_Label.pdf,pMMR Population,5
"Based on the Kaplan-Meier Curve data for overall survival in the KEYNOTE-966 study, what is the difference in the number at risk between the KEYTRUDA + Chemotherapy and Placebo + Chemotherapy groups at the 4-month mark?","At the 4-month mark, the number at risk for KEYTRUDA + Chemotherapy is 469, and for Placebo + Chemotherapy, it is 454. The difference in the number at risk between the two groups is 15.",11b385ab-6925-4b3b-8c23-c86c39baff9e,Keytruda_Label.pdf,Figure 27: Kaplan-Meier Curve for Overall Survival in KEYNOTE-966,5
"In the context of the adverse reactions table from KEYNOTE-048, what is the percentage of patients experiencing fatigue with a severity of grade 3 or 4 in the KEYTRUDA only group, and how does it compare to the same severity percentage in the KEYTRUDA plus chemotherapy group?","In the KEYTRUDA only group, 4% of patients experienced fatigue with a severity of grade 3 or 4. In the KEYTRUDA plus chemotherapy group, 11% of patients experienced fatigue with a severity of grade 3 or 4.",9075efce-4bb9-4f86-b6af-cb3421eeaec3,Keytruda_Label.pdf,Table 16: Adverse Reactions Occurring in ≥10% of Patients Receiving KEYTRUDA in KEYNOTE-048,5
What is the percentage difference in occurrence of rash between patients receiving KEYTRUDA with Lenvatinib and those experiencing palmar-plantar erythrodysesthesia syndrome at any grade?,"The percentage of patients experiencing rash is 37%, while 29% experience palmar-plantar erythrodysesthesia syndrome. The percentage difference is 37% - 29% = 8%.",a25a987d-17a6-4c0c-aded-768c713955b7,Keytruda_Label.pdf,Table 47: Adverse Reactions Occurring in ≥20% of Patients Receiving KEYTRUDA with Lenvatinib in KEYNOTE-581,5
"Based on the efficacy results in KEYNOTE-002, what is the difference in the median months of efficacy between the second and third treatments listed?",The difference in the median months of efficacy between the second treatment (14.7 months) and the third treatment (11.0 months) is 3.7 months.,7bcc5d68-9929-4be6-878c-04293146a56c,Keytruda_Label.pdf,Table 58: Efficacy Results in KEYNOTE-002,5
