experiment_id,exp_top_k,exp_prompt_preset,exp_strict_citation_postprocess,exp_chunk_size,exp_chunk_overlap,exp_header_preset,question,ground_truth,generated_answer,contexts,gold_chunk_id,retrieved_ids,cited_chunk_ids,recall_at_5,citation_hallucination,citation_issue_pre_strict,strict_abstention_applied,gold_chunk_cited,context_hallucination,context_hallucination_severity,total_claims,unsupported_claim_count,claim_level_hallucination_rate,atomic_claims_json,unsupported_claims_json,faithfulness,answer_relevancy,answer_correctness
fine_chunks,5,default,0,600,120,standard,Under what specific conditions can KEYTRUDA be used with lenvatinib for treating advanced endometrial carcinoma?,"KEYTRUDA may be used with lenvatinib for treating advanced endometrial carcinoma when a laboratory test shows that the tumor is mismatch repair proficient (pMMR) or not microsatellite instability-high (MSI-H), the patient has received anti-cancer treatment that is no longer working, and the cancer cannot be cured by surgery or radiation.","KEYTRUDA can be used with lenvatinib for treating advanced endometrial carcinoma under the following specific conditions: the patient must have advanced endometrial carcinoma that is mismatch repair proficient (pMMR) or not microsatellite instability-high (MSI-H) as determined by an FDA-approved test. Additionally, the patient must have experienced disease progression following prior systemic therapy in any setting and must not be a candidate for curative surgery or radiation [Source: 0b260df6-7c9c-4788-99aa-0a56743498d3].","['KEYTRUDA, in combination with lenvatinib, is indicated for the treatment of adult patients with advanced endometrial carcinoma that is mismatch repair proficient (pMMR) or not MSI-H as determined by an FDA-approved test, who have disease progression following prior systemic therapy in any setting and are not candidates for curative surgery or radiation [see Dosage and Administration (2.1)].', 'The efficacy of KEYTRUDA in combination with lenvatinib was investigated in KEYNOTE-775 (NCT03517449), a multicenter, open-label, randomized, active-controlled trial that enrolled 827 patients with advanced endometrial carcinoma who had been previously treated with at least one prior platinum-based chemotherapy regimen in any setting, including in the neoadjuvant and adjuvant settings. Patients with endometrial sarcoma, including carcinosarcoma, or patients who had active autoimmune disease or a medical condition that required immunosuppression were ineligible. Patients with endometrial', '- remove all or part of your kidney, or\n- remove all or part of your kidney and also surgery to remove cancer that has spread to other parts of the body (metastatic lesions).\n- a kind of uterine cancer called advanced endometrial carcinoma.\n- KEYTRUDA may be used with the medicine lenvatinib:\n- when a laboratory test shows that your tumor is mismatch repair proficient (pMMR) or not microsatellite instability-high (MSI-H), and\n- you have received anti-cancer treatment, and it is no longer working,\n- your cancer cannot be cured by surgery or radiation.\n- KEYTRUDA may be used alone:', 'The efficacy of KEYTRUDA in combination with lenvatinib was investigated in KEYNOTE-581 (NCT02811861), a multicenter, open-label, randomized trial conducted in 1069 patients with advanced RCC in the first-line setting. Patients were enrolled regardless of PD-L1 tumor expression status. Patients with active autoimmune disease or a medical condition that required immunosuppression were ineligible. Randomization was stratified by geographic region (North America versus Western Europe versus “Rest of the World”) and Memorial Sloan Kettering Cancer Center (MSKCC) prognostic groups (favorable versus', 'The efficacy of KEYTRUDA in combination with lenvatinib was investigated in KEYNOTE-B61 (NCT04704219), a multicenter, single-arm trial that enrolled 160 patients with advanced or metastatic non-clear cell RCC in the first-line setting. Patients with active autoimmune disease or a medical condition that required immunosuppression were ineligible.']",8b78dcc3-8de5-46f3-ab28-fd113b312de1,"['0b260df6-7c9c-4788-99aa-0a56743498d3', '35cf5073-1ea8-436a-b6df-f041ce238e25', '8b78dcc3-8de5-46f3-ab28-fd113b312de1', '0d464a13-86e6-4dc3-a8ce-1db6a285d257', '644d01d8-3bae-406a-a9c5-cf74ddd2f805']","[""0b260df6-7c9c-4788-99aa-0a56743498d3""]",1,0,0,0,0,0.0,0.0,3.0,0.0,0.0,"[""KEYTRUDA can be used with lenvatinib for treating advanced endometrial carcinoma under the following specific conditions: the patient must have advanced endometrial carcinoma that is mismatch repair proficient (pMMR) or not microsatellite instability-high (MSI-H) as determined by an FDA-approved test."", ""The patient must have experienced disease progression following prior systemic therapy in any setting."", ""The patient must not be a candidate for curative surgery or radiation.""]",[],1.0,0.9999999999999998,0.9914761540082118
fine_chunks,5,default,0,600,120,standard,What is the specific section number in the Keytruda label that discusses the clinical studies related to the accelerated approval based on tumor response rate and durability of response for Tumor Mutational Burden-High Cancer?,14.18,The specific section number in the Keytruda label that discusses the clinical studies related to the accelerated approval based on tumor response rate and durability of response for Tumor Mutational Burden-High Cancer is Section 14.18 [Source: 1807a382-3ca4-4a37-92c5-0ab07276d0ac].,"['This indication is approved under accelerated approval based on tumor response rate and durability of response [see Clinical Studies (14.10)]. Continued approval of this indication may be contingent upon verification and description of clinical benefit in the confirmatory trials.  \nKEYTRUDA, in combination with fluoropyrimidine- and platinum-containing chemotherapy, is indicated for the first-line treatment of adults with locally advanced unresectable or metastatic HER2-negative gastric or gastroesophageal junction (GEJ) adenocarcinoma.', 'This indication is approved under accelerated approval based on tumor response rate and durability of response [see Clinical Studies (14.18)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in the confirmatory trials.  \nLimitations of Use: The safety and effectiveness of KEYTRUDA in pediatric patients with TMB-H central nervous system cancers have not been established.', 'mediated colitis, immune-mediated hepatitis, immune-\nmediated endocrinopathies, immune-mediated nephritis with  \n1        Mediastinal Large B-Cell Lymphoma in adults.² (1.21, 2.2)                            renal dysfunction, immune-mediated dermatologic adverse\nThis indication is approved under accelerated approval based on                         reactions, and solid organ transplant rejection.\ntumor response rate and durability of response. Continued                         o     Monitor for early identification and management. Evaluate', 'The efficacy of KEYTRUDA was investigated in a prospectively-planned retrospective analysis of 10 cohorts (A through J) of patients with various previously treated unresectable or metastatic solid tumors with high tumor mutation burden (TMB-H) who were enrolled in a multicenter, non-randomized, open-label trial, KEYNOTE-158 (NCT02628067). The trial excluded patients who previously received an anti-PD-1 or other immune-modulating monoclonal antibody, or who had an autoimmune disease, or a medical condition that required immunosuppression. Patients received KEYTRUDA 200 mg intravenously every 3', 'KEYTRUDA is indicated for use at an additional recommended dosage of 400 mg every 6 weeks for classical Hodgkin lymphoma and primary mediastinal large B-cell lymphoma in adults [see Indications and Usage (1.5, 1.6), Dosage and Administration (2.2)]. This indication is approved under accelerated approval based on pharmacokinetic data, the relationship of exposure to efficacy, and the relationship of exposure to safety [see Clinical Pharmacology (12.2), Clinical Studies (14.21)]. Continued approval for this dosage may be contingent upon verification and description of clinical benefit in the']",1807a382-3ca4-4a37-92c5-0ab07276d0ac,"['52d03516-f00b-4692-938c-050c67c5cde0', '1807a382-3ca4-4a37-92c5-0ab07276d0ac', 'c6da61dc-3b23-41fb-b2b5-05dbb3bec1a0', '8764dbd1-46c3-47a1-ad40-4292c47a2e52', '94a723a3-fa3f-4cdf-b62c-470b85ccb8ee']","[""1807a382-3ca4-4a37-92c5-0ab07276d0ac""]",1,0,0,0,1,0.0,0.0,1.0,0.0,0.0,"[""The specific section number in the Keytruda label that discusses the clinical studies related to the accelerated approval based on tumor response rate and durability of response for Tumor Mutational Burden-High Cancer is Section 14.18.""]",[],0.5,0.9725493077478604,0.5484916585369437
fine_chunks,5,default,0,600,120,standard,What is the difference in the percentage of patients experiencing cough as an adverse reaction between those receiving KEYTRUDA and the comparator group in the KEYNOTE-045 study?,The difference in the percentage of patients experiencing cough as an adverse reaction between those receiving KEYTRUDA and the comparator group is 15% - 9% = 6%.,Insufficient Information.,"['Of the patients who received single agent KEYTRUDA as adjuvant treatment, 14% experienced serious adverse reactions; the most frequent serious adverse reaction was pneumonia (3.4%). One fatal adverse reaction of pulmonary hemorrhage occurred. Permanent discontinuation of adjuvant KEYTRUDA due to an adverse reaction occurred in 12% of patients; the most frequent (≥1%) adverse reactions that led to permanent discontinuation of adjuvant KEYTRUDA were diarrhea (1.7%), interstitial lung disease (1.4%), AST increased (1%), and musculoskeletal pain (1%).', 'Serious adverse reactions occurred in 50% of these patients receiving KEYTRUDA and lenvatinib. Serious adverse reactions (≥3%) were hypertension (4.4%) and urinary tract infections (3.2%). Discontinuation of KEYTRUDA due to an adverse reaction occurred in 15% of these patients. The most common adverse reaction leading to discontinuation of KEYTRUDA (≥1%) was increased ALT (1.2%). Dose interruptions of KEYTRUDA due to an adverse reaction occurred in 48% of these patients. The most common adverse reactions leading to interruption of KEYTRUDA (≥3%) were diarrhea (8%), increased ALT (4.4%),', 'Serious adverse reactions occurred in 20% of these patients receiving KEYTRUDA. Serious adverse reactions (≥1%) were acute kidney injury, adrenal insufficiency, pneumonia, colitis, and diabetic ketoacidosis (1% each). Fatal adverse reactions occurred in 0.2% of those treated with KEYTRUDA, including one case of pneumonia.  \nDiscontinuation of KEYTRUDA due to an adverse reaction occurred in 21% of patients; the most common (≥1%) were increased ALT (1.6%), colitis (1%), and adrenal insufficiency (1%).', 'In KEYNOTE-002, the adverse reaction profile was similar for the 2 mg/kg dose and 10 mg/kg dose, therefore summary safety results are provided in a pooled analysis (n=357) of both KEYTRUDA arms. Adverse reactions resulting in permanent discontinuation occurred in 12% of patients receiving KEYTRUDA; the most common (≥1%) were general physical health deterioration (1%), asthenia (1%), dyspnea (1%), pneumonitis (1%), and generalized edema (1%). Adverse reactions leading to interruption of KEYTRUDA occurred in 14% of patients; the most common (≥1%) were dyspnea (1%), diarrhea (1%), and', 'In KEYNOTE-010, the adverse reaction profile was similar for the 2 mg/kg and 10 mg/kg dose, therefore summary safety results are provided in a pooled analysis (n=682). Treatment was discontinued for adverse reactions in 8% of patients receiving KEYTRUDA. The most common adverse events resulting in permanent discontinuation of KEYTRUDA was pneumonitis (1.8%). Adverse reactions leading to interruption of KEYTRUDA occurred in 23% of patients; the most common (≥1%) were diarrhea (1%), fatigue (1.3%), pneumonia (1%), liver enzyme elevation (1.2%), decreased appetite (1.3%), and pneumonitis (1%).']",ae424bb4-b0ac-4f24-9146-4111ef42894b,"['d31f8014-ad5c-4d84-af87-4d2829f9998b', '08ab75a5-c1bb-4748-9f3e-979b75f42ffb', 'aef4c0d3-2354-487b-b834-11a934c15d05', '99eab2f6-4b46-4852-9423-ec654b4aef2c', 'b720da8a-8424-4252-a3f7-952b5c62fdd1']",[],0,0,0,0,0,0.0,0.0,0.0,0.0,,[],[],0.0,0.0,0.028206942607803577
fine_chunks,5,default,0,600,120,standard,"In the KEYNOTE-042 study, what was the percentage of patients who experienced a worsening from baseline in increased AST levels compared to those who experienced a worsening in hypoalbuminemia, and which condition had a higher percentage of patients affected?","31% of patients experienced a worsening in increased AST levels, while 33% experienced a worsening in hypoalbuminemia. Hypoalbuminemia had a higher percentage of patients affected.",Insufficient Information.,"['‡ Graded per NCI CTCAE v4.0  \nOther laboratory abnormalities occurring in ≥20% of patients receiving KEYTRUDA were increased hypoalbuminemia (27% all Grades; 2.4% Grades 3-4), increased ALT (23% all Grades; 3.1% Grades 3-4), and increased alkaline phosphatase (21% all Grades, 2% Grades 3-4).', 'leading to interruption of KEYTRUDA (≥2%) were increased blood bilirubin (9%), increased AST (5%), and increased ALT (2%).', '† Graded per NCI CTCAE v4.0  \n‡ Includes elevation of AST or ALT  \nHyperbilirubinemia occurred in less than 15% of patients on KEYNOTE-087 (10% all Grades, 2.4% Grade 3-4).', '* With at least one Grade increase from baseline  \n† Laboratory abnormality percentage is based on the number of patients who had both baseline and at least one post-baseline laboratory measurement for each parameter: KEYTRUDA with lenvatinib (range: 343 to 349 patients) and sunitinib (range: 329 to 335 patients).', '|                   | Hyponatremia                   | 46                    | 18              | 55             | 20  |   |\n|                   | Hypoalbuminemia                | 44                    | 3.5             | 46             | 3.9 |   |\n|                   | Increased AST                  | 28                    | 3.1             | 25             | 1.9 |   |\n|                   | Increased ALT                  | 25                    | 2.1             | 22             | 1.5 |   |']",24eaa6ce-e54d-4e72-b22b-d2d4a7409ca2,"['bb311947-ed79-4a11-b73f-97c570655f9e', '816a1128-1e63-4b06-be86-4be98fe17fb3', '5b4e0feb-64f5-4a79-b896-68f2507e92cf', '20fbd889-69f8-406b-858e-55be4496ea89', '9e955ae5-dcb6-4426-ac06-c0fb576c6db1']",[],0,0,0,0,0,0.0,0.0,0.0,0.0,,[],[],1.0,0.0,0.03286491138342043
fine_chunks,5,default,0,600,120,standard,"According to the provided dosage schedule in the context, how often should a patient be administered a 400 mg dose of the medication?",Every 6 weeks,A patient should be administered a 400 mg dose of the medication every 6 weeks [Source: 457f9437-543b-4e88-ada8-c7d62ee77108].,"['Additional Dosing Regimen of 400 mg Every 6 Weeks  \nThe efficacy and safety of KEYTRUDA using a dosage of 400 mg every 6 weeks for the classical Hodgkin lymphoma and primary mediastinal large B-cell lymphoma indications for adults was primarily based on the dose/exposure efficacy and safety relationships and observed pharmacokinetic data in patients with melanoma [see Clinical Pharmacology (12.2)].', 'Patients received KEYTRUDA 400 mg every 6 weeks in combination with lenvatinib 20 mg orally once daily. KEYTRUDA was continued for a maximum of 24 months; however, lenvatinib could be continued beyond 24 months. Treatment continued until unacceptable toxicity or disease progression. Administration of KEYTRUDA with lenvatinib was permitted beyond RECIST-defined disease progression if the patient was considered by the investigator to be deriving clinical benefit.', '|                                                                                                                                                                                                                                                      |                                                                     |                                                                      | 400 mg every 6 weeks\\*         |', '|                                                                                                                                                                                                                                                      |                                                                     |                                                                      | 400 mg every 6 weeks\\*         |', '|                                                                                                                                                                                                                                                      |                                                                     |                                                                      | 400 mg every 6 weeks\\*         |']",1d35fa09-8084-429a-a58d-9feee906c244,"['457f9437-543b-4e88-ada8-c7d62ee77108', '566c62da-c93f-4504-9725-7958da00cf43', '79183b2d-343c-4f9b-9f12-a9c72668527e', '3dc32b69-8c7c-4f1a-8fc2-f7f19100cbab', '1d35fa09-8084-429a-a58d-9feee906c244']","[""457f9437-543b-4e88-ada8-c7d62ee77108""]",1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,"[""A patient should be administered a 400 mg dose of the medication every 6 weeks""]",[],0.5,0.6446896312435624,0.6301646443120589
fine_chunks,5,default,0,600,120,standard,"According to the Keytruda label, how long should the intravenous infusion of KEYTRUDA last, and what is the minimum interval in weeks before considering dose escalation of axitinib when used in combination with KEYTRUDA?","The intravenous infusion of KEYTRUDA should last 30 minutes, and dose escalation of axitinib may be considered at intervals of six weeks or longer.",The intravenous infusion of KEYTRUDA should last 30 minutes [Source: 29edb379-71d9-405f-84f8-f0c7b70ae175]. The minimum interval before considering dose escalation of axitinib when used in combination with KEYTRUDA is six weeks [Source: 29edb379-71d9-405f-84f8-f0c7b70ae175].,"['Reference ID: 5519370  \nAdminister KEYTRUDA prior to chemotherapy when given on the same day.  \n- 30-minute intravenous infusion\n- Refer to the Prescribing Information for the agents administered in combination with KEYTRUDA for recommended dosing information, as appropriate.\n- When axitinib is used in combination with KEYTRUDA, dose escalation of axitinib above the initial 5 mg dose may be considered at intervals of six weeks or longer.', 'Patients received KEYTRUDA 200 mg intravenously every 3 weeks and axitinib 5 mg orally twice daily, or sunitinib 50 mg once daily for 4 weeks and then off treatment for 2 weeks. The median duration of exposure to the combination therapy of KEYTRUDA and axitinib was 10.4 months (range: 1 day to 21.2 months).', 'Patients were randomized (1:1) to one of the following treatment arms:  \n- KEYTRUDA 200 mg intravenously every 3 weeks up to 24 months in combination with axitinib 5 mg orally, twice daily. Patients who tolerated axitinib 5 mg twice daily for 2 consecutive cycles (6 weeks) could increase to 7 mg and then subsequently to 10 mg twice daily. Axitinib could be interrupted or reduced to 3 mg twice daily and subsequently to 2 mg twice daily to manage toxicity.\n- Sunitinib 50 mg orally, once daily for 4 weeks and then off treatment for 2 weeks.', 'The safety of KEYTRUDA was evaluated in KEYNOTE-581 [see Clinical Studies (14.16)]. Patients received KEYTRUDA 200 mg intravenously every 3 weeks in combination with lenvatinib 20 mg orally once daily (n=352), or lenvatinib 18 mg orally once daily in combination with everolimus 5 mg orally once daily (n=355), or sunitinib 50 mg orally once daily for 4 weeks then off treatment for 2 weeks (n=340). The median duration of exposure to the combination therapy of KEYTRUDA and lenvatinib was 17 months (range: 0.1 to 39).', 'In combination with axitinib in the first-line treatment of advanced RCC (KEYNOTE-426) The safety of KEYTRUDA in combination with axitinib was investigated in KEYNOTE-426 [see Clinical Studies (14.16)]. Patients with medical conditions that required systemic corticosteroids or other immunosuppressive medications or had a history of severe autoimmune disease other than type 1 diabetes, vitiligo, Sjogren’s syndrome, and hypothyroidism stable on hormone replacement were ineligible. Patients received KEYTRUDA 200 mg intravenously every 3 weeks and axitinib 5 mg orally twice daily, or sunitinib 50']",29edb379-71d9-405f-84f8-f0c7b70ae175,"['29edb379-71d9-405f-84f8-f0c7b70ae175', '2cb2184a-e081-4b39-8076-601b32bd9338', '2b41f162-a67b-4abf-b996-131ca7d16c30', '8c66ef84-aeaf-4137-ba90-d66c4b252851', '55e972bf-43c5-4024-a531-c4efc5522c05']","[""29edb379-71d9-405f-84f8-f0c7b70ae175"", ""29edb379-71d9-405f-84f8-f0c7b70ae175""]",1,0,0,0,1,0.0,0.0,2.0,0.0,0.0,"[""The intravenous infusion of KEYTRUDA should last 30 minutes."", ""The minimum interval before considering dose escalation of axitinib when used in combination with KEYTRUDA is six weeks.""]",[],1.0,0.9357702614846194,0.9846347608667534
fine_chunks,5,default,0,600,120,standard,What specific mechanism does pembrolizumab employ to facilitate the anti-tumor immune response according to the provided context?,"Pembrolizumab binds to the PD-1 receptor and blocks its interaction with PD-L1 and PD-L2, releasing PD-1 pathway-mediated inhibition of the immune response, including the anti-tumor immune response.","Pembrolizumab facilitates the anti-tumor immune response by binding to the PD-1 receptor and blocking its interaction with PD-L1 and PD-L2. This action releases PD-1 pathway-mediated inhibition of the immune response, including the anti-tumor immune response [Source: cb37cea4-8312-445c-9f64-64bd9cec9500].","['Binding of the PD-1 ligands, PD-L1 and PD-L2, to the PD-1 receptor found on T cells, inhibits T cell proliferation and cytokine production. Upregulation of PD-1 ligands occurs in some tumors and signaling through this pathway can contribute to inhibition of active T-cell immune surveillance of tumors. Pembrolizumab is a monoclonal antibody that binds to the PD-1 receptor and blocks its interaction with PD-L1 and PD-L2, releasing PD-1 pathway-mediated inhibition of the immune response, including the anti-tumor immune response. In syngeneic mouse tumor models, blocking PD-1 activity resulted in', 'in fetal loss; therefore, potential risks of administering KEYTRUDA during pregnancy include increased rates of abortion or stillbirth. As reported in the literature, there were no malformations related to the blockade of PD-1 signaling in the offspring of these animals; however, immune-mediated disorders occurred in PD-1 knockout mice. Based on its mechanism of action, fetal exposure to pembrolizumab may increase the risk of developing immune-mediated disorders or of altering the normal immune response.', 'Risk Summary  \nBased on its mechanism of action, KEYTRUDA can cause fetal harm when administered to a pregnant woman. There are no available human data informing the risk of embryo-fetal toxicity. In animal models, the PD-1/PD-L1 signaling pathway is important in the maintenance of pregnancy through induction of maternal immune tolerance to fetal tissue (see Data). Human IgG4 (immunoglobulins) are known to cross the placenta; therefore, pembrolizumab has the potential to be transmitted from the mother to the developing fetus. Advise pregnant women of the potential risk to a fetus.', 'Pembrolizumab is a programmed death receptor-1 (PD 1)-blocking antibody. Pembrolizumab is a humanized monoclonal IgG4 kappa antibody with an approximate molecular weight of 149 kDa. Pembrolizumab is produced in recombinant Chinese hamster ovary (CHO) cells.  \nKEYTRUDA (pembrolizumab) injection is a sterile, preservative-free, clear to slightly opalescent, colorless to slightly yellow solution for intravenous use. Each vial contains 100 mg of pembrolizumab in 4 mL of', 'response, including the anti-tumor immune response. In syngeneic mouse tumor models, blocking PD-1 activity resulted in decreased tumor growth.']",cb37cea4-8312-445c-9f64-64bd9cec9500,"['cb37cea4-8312-445c-9f64-64bd9cec9500', 'ebbf8d3c-9725-4c9f-bdfb-b5fa9e7470ad', 'a24f60cd-7f8e-4ec4-96c6-7d05abe8b42b', '79a996d9-e278-497f-b1d7-8f4b51eeef4f', 'af37c6d5-91bb-42f8-8e51-919a9a1958fe']","[""cb37cea4-8312-445c-9f64-64bd9cec9500""]",1,0,0,0,1,0.0,0.0,2.0,0.0,0.0,"[""Pembrolizumab facilitates the anti-tumor immune response by binding to the PD-1 receptor and blocking its interaction with PD-L1 and PD-L2."", ""This action releases PD-1 pathway-mediated inhibition of the immune response, including the anti-tumor immune response.""]",[],1.0,0.8789769909980024,0.9857604561338649
fine_chunks,5,default,0,600,120,standard,"In the KEYNOTE-355 study for patients with CPS ≥10, what is the difference in the Objective Response Rate (ORR) between the two groups presented in the efficacy results table, and what does this numerical difference represent?",The difference in the Objective Response Rate (ORR) between the two groups is 12%. This represents the percentage point improvement in ORR from 41% in one group to 53% in the other group as presented in the efficacy results.,Insufficient Information.,"['|                          | p-Value†                              |                       | <0.0001           |\n| n=101                    |                                       |                       | n=103             |\n| Objective Response Rate‡ | ORR (95% CI)                          | 58% (48, 68)          | 35% (26, 45)      |\n|                          | Difference (95% CI)                   |                       | 23.6% (9.9, 36.4) |\n|                          | p-Value§                              | 0.0008                |                   |', 'histology, CPS ≥10, and in all patients. Additional efficacy outcome measures were ORR and DoR, according to modified RECIST v1.1, as assessed by the investigator.', '[RECIST v1.1, modified to follow a maximum of 10 target lesions and a maximum of 5 target lesions per organ]. Additional efficacy outcome measures were objective response rate (ORR) and duration of response (DoR).', '| Objective Response Rate    |                                                                                                                                                                       |\n| ORR (95% CI)†              | 33.3% (29.2, 37.6)                                                                                                                                                    |\n| Complete response rate     | 10.3%                                                                                                                                                                 |', '| Objective Response Rate   | ORR§ (95% CI)                                 | 51% (48, 55)                                 | 42% (38, 45)                                  | 52% (48, 56)                                 | 43% (39, 47)                                  | 61% (55, 66)                                 | 43% (37, 49) |   |   |   |']",c1e2e20f-5a01-4489-bc76-24c4c57a4287,"['fdecf37c-25b4-464b-9517-0f84491caf4c', 'd90cbe5a-b76a-4e2f-85a5-1251f5f31dbc', '966ced7c-3d0c-4179-a1b3-c5f09bed952e', '4b4195fd-2c27-4baf-8b79-70e2a88b45c1', 'a846a402-f5c3-497e-886d-5045d65add49']",[],0,0,0,0,0,0.0,0.0,0.0,0.0,,[],[],0.0,0.0,0.03971606168960089
fine_chunks,5,default,0,600,120,standard,"What percentage of the study population discontinued KEYTRUDA due to pneumonitis, and what was the percentage of adverse reactions leading to interruption of KEYTRUDA?","1.4% of the study population permanently discontinued KEYTRUDA due to pneumonitis, and 58% of patients experienced adverse reactions leading to interruption of KEYTRUDA.",Insufficient Information.,"['The study population characteristics were: median age of 64 years (range: 34 to 84), 49% age 65 or older; 59% male; 94% White and 3% Asian; and 18% with history of brain metastases at baseline. KEYTRUDA was discontinued for adverse reactions in 20% of patients. The most common adverse reactions resulting in permanent discontinuation of KEYTRUDA were pneumonitis (3%) and acute kidney injury (2%). Adverse reactions leading to the interruption of KEYTRUDA occurred in 53% of patients; the most common adverse reactions or laboratory abnormalities leading to interruption of KEYTRUDA (≥2%) were', 'KEYTRUDA was discontinued for adverse reactions in 12% of patients in the KEYTRUDA single agent arm. The most common adverse reactions resulting in permanent discontinuation of KEYTRUDA were sepsis (1.7%) and pneumonia (1.3%). Adverse reactions leading to the interruption of KEYTRUDA occurred in 31% of patients; the most common adverse reactions leading to interruption of KEYTRUDA (≥2%) were pneumonia (2.3%), pneumonitis (2.3%), and hyponatremia (2%).', 'KEYTRUDA was discontinued for adverse reactions in 15% of patients. The most common adverse reactions resulting in permanent discontinuation of KEYTRUDA (≥1%) were pneumonitis (1.6%), acute kidney injury (1.1%), and pneumonia (1.1%). Adverse reactions leading to interruption of KEYTRUDA occurred in 67% of patients. The most common adverse reactions leading to interruption of KEYTRUDA (≥2%) were neutropenia (19%), fatigue/asthenia (8%), decreased white blood cell count (5%), pneumonia (5%), decreased appetite (4.3%), anemia (3.2%), increased blood creatinine (3.2%), stomatitis (3.2%), malaise', 'KEYTRUDA was discontinued for adverse reactions in 19% of patients. The most common adverse reactions resulting in permanent discontinuation of KEYTRUDA were pneumonitis (3.0%), death due to unknown cause (1.6%), and pneumonia (1.4%). Adverse reactions leading to interruption of KEYTRUDA occurred in 33% of patients; the most common adverse reactions or laboratory abnormalities leading to interruption of KEYTRUDA (≥2%) were pneumonitis (3.1%), pneumonia (3.0%), hypothyroidism (2.2%), and increased ALT (2.0%). The most frequent (≥2%) serious adverse reactions were pneumonia (7%), pneumonitis', 'KEYTRUDA was discontinued for adverse reactions in 7% of patients. The most common adverse reaction (≥1%) resulting in permanent discontinuation was diarrhea (1%).  \nAdverse reactions leading to interruption of KEYTRUDA occurred in 43% of patients; the most common adverse reactions leading to interruption of KEYTRUDA (≥2%) were anemia (8%), COVID-19 (6%), SARS-CoV-2 test positive (3.1%), decreased neutrophil count (2.7%), diarrhea (2.7%), urinary tract infection (2.7%), and increased ALT (2.4%).']",976e74d4-c9c8-493b-a141-965d49fefe90,"['d3d97d50-058f-4bf5-98e7-989276402f02', 'f3ee62d4-30f0-4cc4-9c60-97657e6369c4', '558e4dcb-b39b-4b64-a3ac-ccf5be5cb95c', '81879b3d-15f3-4e8d-be4a-49805a7e457a', 'a96b8552-0b40-45dc-92ab-0af93f74b0d8']",[],0,0,0,0,0,0.0,0.0,0.0,0.0,,[],[],0.0,0.0,0.0324657147866526
fine_chunks,5,default,0,600,120,standard,"Based on the Kaplan-Meier Curve data provided, what is the total number of patients initially at risk in both treatment arms combined at the start of the study?","The total number of patients initially at risk in both treatment arms combined at the start of the study is 1,069 (533 in the KEYTRUDA + Chemotherapy arm and 536 in the Placebo + Chemotherapy arm).",Insufficient Information.,"['| Treatment arm                              |                        |\n| ------------------------------------------ | ---------------------- |\n| KEYTRUDA + Chemotherapy                    | Placebo + Chemotherapy |\n| ![Kaplan-Meier Curve](path_to_graph_image) |                        |  \nOverall Survival (%)  \n| Number at Risk | KEYTRUDA + Chemotherapy | Placebo + Chemotherapy |\n| -------------- | ----------------------- | ---------------------- |\n| 0              | 533                     | 536                    |\n| 2              | 505                     | 504                    |', '| Treatment arm                              |                 |\n| ------------------------------------------ | --------------- |\n| KEYTRUDA + Chemo                           | Placebo + Chemo |\n| ![Kaplan-Meier Curve](path_to_graph_image) |                 |  \nNumber at Risk  \n| Time in Months | KEYTRUDA + Chemo | Placebo + Chemo |\n| -------------- | ---------------- | --------------- |\n| 0              | 220              | 103             |\n| 3              | 173              | 80              |\n| 6              | 122              | 41              |', '100\n90\n80\n70\n60\n50\n40\n30\n20\n10\n0  \nTreatment arm  \n- KEYTRUDA + Lenvatinib\n- Sunitinib  \n| Number at Risk         | Time in Months                                                        |\n| ---------------------- | --------------------------------------------------------------------- |\n| KEYTRUDA + Lenvatinib: | 355 321 300 276 259 235 213 186 160 136 126 106 80 56 30 14 6 3 1 1 0 |\n| Sunitinib:             | 357 262 218 145 124 107 85 69 62 49 42 32 25 16 9 3 2 1 0 0 0         |', '* Based on stratified Cox proportional hazard model  \n† Based on stratified log-rank test  \n‡ Based on Miettinen and Nurminen method stratified by histological subtype at randomization  \n§ (epithelioid vs. non-epithelioid) Based on patients with a best overall response as confirmed complete or partial response; n=116 for patients in the KEYTRUDA combination arm; n=63 for patients in the chemotherapy arm', '|                | Overall Survival (%) |               |          |              |     |     |    |    |    |   |\n| -------------- | -------------------- | ------------- | -------- | ------------ | --- | --- | -- | -- | -- | - |\n| 100            | 90                   | 80            | 70       | 60           | 50  | 40  | 30 | 20 | 10 | 0 |\n|                |                      | Treatment arm | KEYTRUDA | Chemotherapy |     |     |    |    |    |   |\n| Number at Risk | KEYTRUDA:            | 637           | 463      | 365          | 214 | 112 | 35 | 0  |    |   |']",23cd7aec-6f74-45aa-a5f8-2d6364c3a368,"['23cd7aec-6f74-45aa-a5f8-2d6364c3a368', 'b85ad862-ca98-437c-b052-bbfbfd0a7d22', '5184adc3-ae29-4bd5-a252-aa58b9525ac1', '7afddc47-3816-4685-9f28-aa6f9579fbb7', 'f2cceb2c-ec6b-4437-8d2c-d0f8ba3b0271']",[],1,0,0,0,0,0.0,0.0,0.0,0.0,,[],[],0.0,0.0,0.03515208234623571
